,Deposit type,Description,Deposit environment,Deposit group
0,Residual placer tin,"Residual placer tin deposits are also known as Lag tin. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Residual placer tin deposits include: Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization. Residual placer tin deposits, commonly known as Lag tin deposits, are a unique form of placer deposits characterized by the in-situ concentration of tin-heavy minerals such as cassiterite, due to prolonged weathering and erosion processes. These deposits are essentially formed from the decomposition and erosion of primary tin-bearing rocks (typically granites, pegmatites, or metamorphic greisens), leaving behind the resistant and denser ore minerals like cassiterite in a concentrated state due to their relative stability against chemical weathering. Unlike alluvial placer deposits that are transported and sorted by water, residual placers remain at or near the site of the original mineralization, signifying their erosion-resistive nature. The grade and tonnage of these deposits can vary considerably but often present economically viable concentrations of tin, especially given the mechanical enrichment and minimal transport which preserves the ore quality. The age of mineralization in these settings can range significantly depending on the regional geological history, but the crucial factor is the period over which weathering processes took place. Tin grades in residual placers are often higher than those in alluvial settings, making them attractive mining targets. These deposits occur in regions with significant primary tin mineralization exposed to intense weathering environments, often within tropical or subtropical climates. Structurally, they require limited input, as the primary control is the presence of original tin mineralized zones and subsequent natural weathering processes rather than tectonic activities. Overall, the distinguishing feature of residual placer tin deposits lies in their formation process, where chemical stability and erosion resistance lead to natural enrichment directly at the source, rather than through fluvial transport and deposition.
",Erosional,Placer
1,Residual placer lead,"Residual placer lead deposits are also known as Lag lead. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Residual placer lead deposits include: Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization. Residual placer lead (Lag lead) deposits are distinguished from other mineral deposits by their formation process and environment, where lead minerals are concentrated through the chemical weathering and subsequent erosion of softer surrounding materials, leaving behind resistate minerals. These deposits are commonly found in regions characterized by significant ancient weathering profiles that are preserved, like those found in tableland or karst landscapes. The primary rock types involved are usually those containing pre-existing mineralizations, such as galena within carbonate rocks or old hydrothermal veins. The lead in residual placers can be found in the form of weathered remnants of the original lead-bearing minerals like cerussite (lead carbonate) which is formed from the oxidation of galena (PbS). The age of mineralization varies widely, but these deposits are often associated with stable tectonic settings with prolonged weathering periods, such as cratons or shield areas. Control on ore deposition in such settings is largely governed by topography and paleoclimate, which influence the erosion and preservation conditions essential for the formation of these deposits. This concentration mechanism does not typically produce extremely high-grade deposits, but the lead concentrations are economically viable due to the heavy and resistant nature of lead minerals in erosional environments. In summary, residual placer lead deposits offer a distinctive example of lead concentration through surface processes independent of the typical ore-forming hydrothermal mechanisms seen in many other mineral deposits.",Erosional,Placer
2,Fluvial placer gold,"Fluvial placer gold deposits are also known as Alluvial gold. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer gold deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. Fluvial placer gold deposits, commonly referred to as alluvial gold deposits, are distinctive geological formations formed through the mechanical concentration of gold particles in river environments. These deposits are a subtype of placer deposits, where gold, due to its high density and resistance to weathering, accumulates in riverbeds, streambeds, and nearby alluvial plains. The gold in these deposits typically originates from the erosion of primary gold sources, such as quartz veins or other mineralized rock formations within the watershed. As these rocks undergo weathering, gold particles are liberated and transported downstream by water flow. The deposition is heavily influenced by changes in river velocity, where gold particles settle in areas of reduced flow, such as river bends and natural riffles. Distinguishing characteristics of fluvial placer gold deposits include their dependence on existing drainage networks, and topographic relief which facilitates the mechanical sorting necessary to concentrate the gold particles. The grade and tonnage of these deposits can vary significantly but are generally lower in grade with higher volume compared to hard rock gold sources. Importantly, these deposits do not require significant alteration or specific tectonic settings, distinguishing them from many other ore deposit types that depend heavily on specific geological and chemical processes for their formation.Fluvial placer gold type mineral deposits are also known as USGS deposit model number 39a. Fluvial placer gold type mineral deposits are also known as Placer Au-PGE. ",Erosional,Placer
3,Fluvial placer PGE,"Fluvial placer PGE deposits are also known as Alluvial PGE. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer PGE deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. Fluvial placer PGE (Platinum Group Elements) deposits, also termed Alluvial PGE deposits, are distinct mineral deposits set apart by their formation in river and stream environments where denser PGE minerals, derived from eroded primary sources like layered intrusions or ultramafic complexes, get mechanically concentrated by flowing water. These deposits predominantly form in regions featuring significant erosional processes, high topographic relief, and well-developed drainage systems that facilitate the physical sorting and deposition of heavy minerals in alluvial sediments. The primary rock types involved are typically igneous rocks rich in PGEs, such as those found in the Bushveld Complex or the Great Dyke, from where erosion liberates the PGEs. Unlike other deposits, where mineralization might be related to hydrothermal processes, fluvial placer deposits concentrate pre-existing minerals without chemical alteration. The ore types are generally clastic sediments consisting of sands and gravels enriched in PGEs. Grades and tonnages can vary significantly, but typically, the high density and resistivity to weathering of PGE minerals enable economically viable concentrations in placers. These deposits do not typically form distinct ore bodies but are instead characterized by diffuse horizons or paystreaks within broader alluvial fields, marked by a lack of significant alteration. The age of mineralization is closely tied to the timing of erosion and exhumation of the source rocks. In terms of tectonic settings, fluvial placer PGEs are often found in stable cratonic areas where long-term erosion exposes deep-seated PGE-rich rocks. The understanding of these deposits€™ physiography, sedimentology, and the specific conditions conducive to the concentration of heavy minerals is crucial for effective exploration and extraction of PGEs from these unique and economically important deposits.Fluvial placer PGE type mineral deposits are also known as USGS deposit model number 39b. Fluvial placer PGE type mineral deposits are also known as Placer PGE-Au. ",Erosional,Placer
4,Fluvial placer tin,"Fluvial placer tin deposits are also known as Alluvial tin. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer tin deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. Fluvial placer tin deposits, commonly referred to as alluvial tin deposits, are a unique type of mineral deposit found within river systems where tin, primarily in the form of cassiterite (SnO2), has been concentrated by the mechanical action of water. These deposits are typically located in regions of significant geological weathering and erosion, which liberates dense cassiterite grains from parent rock formations, often granitic intrusions rich in tin-bearing minerals. The liberated cassiterite is then transported and deposited by flowing water, accumulating in river bends, natural traps, and depressions where the water velocity decreases. Unlike many other mineral deposits, fluvial placer deposits do not require chemical alteration or extensive rock transformation, making them distinct in their formation processes which involves physical concentration mechanisms. The ore grades can vary widely but often are economically viable due to the high density and purity of cassiterite concentrates. These deposits are typically younger, geologically speaking, as they are often formed in Quaternary periods, coinciding with recent geological upheavals that create suitable erosional environments. The identification and exploitation of these deposits typically require understanding the current and historical geomorphology and hydrology of an area rather than the complex geochemical processes associated with other deposit types. This distinctive genesis and accumulation process sets fluvial placer tin deposits apart from other mineral deposits that often involve more complex formation mechanisms, such as hydrothermal or magmatic systems.Fluvial placer tin type mineral deposits are also known as USGS deposit model number 39e. Fluvial placer tin type mineral deposits are also known as Alluvial placer Sn. ",Erosional,Placer
5,Fluvial placer niobium-tantalum,"Fluvial placer niobium-tantalum deposits are also known as Alluvial niobium-tantalum. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer niobium-tantalum deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. Fluvial placer niobium-tantalum deposits, categorized under the broader group of placer deposits, are unique concentrations of niobium (Nb) and tantalum (Ta) minerals that are typically found in river and stream sediments due to their high density and resistance to weathering. These deposits form as a result of erosion and subsequent transport from primary deposits, leading to the accumulation in fluvial environments with significant topographic relief and an established drainage network that facilitates the concentration of heavier minerals. Distinctive from other deposit types, fluvial placers are not associated with a specific rock type, but rather depend on the presence of Nb and Ta bearing minerals within eroded material, such as columbite-tantalite. Ore grades in these deposits can vary widely but are generally enriched in comparison to the original bedrock concentrations owing to natural sorting processes. The age of mineralization is primarily dependent on the timing of erosion and the exposure of pre-existing mineralized rocks. Key geological features influencing the formation include the structural control on the primary source rocks, changes in stream energy which promote deposition of heavy minerals, and minimal alteration processes due to the mechanical nature of ore transport and deposition. Tectonic settings influencing these deposits typically involve stable cratonic areas with ancient crystalline rocks or active orogenic belts where uplift and erosion expose and concentrate ore minerals in alluvial settings.",Erosional,Placer
6,Fluvial placer tungsten,"Fluvial placer tungsten deposits are also known as Alluvial tungsten. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer tungsten deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. Fluvial placer tungsten deposits, characterized under the broader category of Placer deposits, are uniquely distinguished by their genesis in fluvial (river/stream) environments, where the mechanical concentration of heavy minerals from preexisting ore bodies occurs. These deposits primarily form in regions marked by significant exhumation and tectonic uplift, contributing to pronounced topographic relief and active drainage networks that facilitate the erosion and transport of resistant minerals like tungsten (typically wolframite and scheelite). The geologic setting typically includes Precambrian to Cenozoic age bedrock, rich in original tungsten-bearing veins or pegmatites. Unlike other placer deposits, which might concentrate lighter or more voluminous materials like gold or tin, fluvial placer tungsten deposits require catchment areas that were originally rich in tungsten minerals - the presence of old, hard rocks is thus a critical factor. The placer ores themselves are not significantly altered chemically but are mechanically sorted and rounded, gathering in crevices or natural traps within the riverbeds. Ore grades can be highly variable, largely depending on the original tungsten content in the source rocks and the efficiency of the fluvial system in concentrating the heavy minerals. These deposits do not typically form extensive ore bodies but occur as localized concentrations that can nonetheless be economically viable due to the high unit value of tungsten.",Erosional,Placer
7,Fluvial placer REE,"Fluvial placer REE deposits are also known as Alluvial REE. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer REE deposits include: Exhumation, topographic relief, drainage network, specific rock types. Fluvial placer REE deposits, commonly known as alluvial REE deposits, are distinct within the broader category of placer deposits due to their unique depositional processes and geological settings. Characteristically formed in erosional environments, these deposits result from the mechanical concentration of heavy minerals by river and stream processes. The ore primarily accumulates in river channels, point bars, and alluvial fans where rapid sedimentation can trap denser minerals. Geologically, these deposits are often found in regions with significant topographic relief and strong erosion dynamics, which promote the weathering and release of rare earth elements (REEs) from source rocks like carbonatites and alkaline igneous complexes. REE-bearing minerals such as monazite, xenotime, and bastnÃ¤site are typically recovered, with the grade and tonnage varying significantly based on local geological conditions and the maturity of the placer. These deposits do not generally undergo any hydrothermal alteration, and their formation is largely controlled by the landscape's physiography and existing drainage networks. Fluvial placer REE deposits differ from other REE deposits like those derived hydrothermally or from ion adsorption clays, as they require no chemical alteration processes and are predominantly mechanically sorted. The tectonic setting is also crucial, often associated with active continental margins or rift settings where high rates of uplift and erosion prevail. This geological framework explains the typical concentration and preservation of REE-bearing minerals in fluvial placer settings, offering an economically viable, albeit variable, source of rare earth elements.",Erosional,Placer
8,Fluvial placer diamond,"Fluvial placer diamond deposits are also known as Alluvial diamond. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer diamond deposits include: Exhumation, topographic relief, drainage network, kimberlite pipe. Fluvial placer diamond deposits, commonly referred to as alluvial diamonds, are a subtype of placer deposits formed in riverine environments. These deposits are characterized by diamonds that have been eroded from their primary source, typically kimberlite pipes, and then transported by rivers or streams. The significant geological features of these deposits include their occurrence in areas with high topographic relief and active drainage networks, which facilitate the erosion and transport of diamond-bearing materials. The diamonds are found within sediments like sand and gravel in riverbeds, terraces, or alluvial fans, making sedimentological processes pivotal in their concentration. Unlike other mineral deposits, fluvial placer diamonds do not involve a specific host rock but are concentrated by physical processes, including sorting and density separation, driven by water flow. Typically, these deposits are younger, Quaternary in age, due to their association with recent geological surface processes. The grade and tonnage of these deposits can vary significantly but generally have higher diamond concentrations compared to other sedimentary environments due to natural sorting mechanisms. The key to the economic viability of fluvial placer deposits is their enrichment factor and the preservation of depositional environments that prevent dispersion of diamonds. This distinct formation and occurrence settings make fluvial placer diamond deposits unique compared to other types of mineral deposits which are often defined by chemical processes and specific host rocks or ore bodies.",Erosional,Placer
9,Fluvial placer gemstones,"Fluvial placer gemstones deposits are also known as Alluvial gemstones. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer gemstones deposits include: Exhumation, topographic relief, drainage network, specific rock type. Fluvial placer gemstone deposits, commonly termed alluvial gemstones, represent a distinctive class of mineral deposits primarily formed in river and stream systems where valuable gemstones are mechanically concentrated by water action. These deposits are sourced from weathered parental rocks with gemstones subsequently trapped within riverbeds, floodplains, or alluvial fans due to their higher density and resistance to weathering. Typical gemstones found in these deposits include diamonds, sapphires, rubies, and gold. The process of formation is largely dependent on high-energy environments capable of transporting and concentrating the heavier minerals while dispersing the lighter matrix. Key geological features include significant secondary enrichment zones, where gemstones accumulate in potholes or behind natural riffles, providing natural sorting mechanisms. These deposits are typically unconsolidated, consisting of sands, gravels, and other detrital material. The fluvial placer context is crucially influenced by factors such as the presence of certain durable rock types in the source area, like kimberlite or lamproite for diamonds, and basaltic or metamorphic terrains for sapphires and rubies. Age of mineralization in these deposits spans a wide range, often aligned with periods of intense erosion and sedimentation associated with climatic and tectonic shifts. This type of deposit does not typically undergo significant metamorphic or hydrothermal alteration, distinguishing it from many other ore deposit types that involve more complex geological processes for ore formation. Fluvial placer deposits are hence differentiated by their simplicity of formation, the physical rather than chemical properties of the ores, and their direct link to erosion and sedimentary processes.Fluvial placer gemstones type mineral deposits are also known as USGS deposit model number 39d. Fluvial placer gemstones type mineral deposits are also known as Diamond placer. ",Erosional,Placer
