,deposit_id,deposit_name,latitude,longitude,deposit_model,url
0,508,Sardalas,25.7926,10.4503,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=508
1,563,Biserica Slanic,46.25,26.55,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=563
2,839,Deep Springs Lake,37.2738,-118.0451,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=839
3,255,Flachstockheim,52.084,10.439,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=255
4,802,Modrych,49.3181,23.4804,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=802
5,964,Mosqueiro area,-11.0167,-37.1833,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=964
6,392,Mount Sdom,31.08,35.39,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=392
7,750,Sabkha el Mehabeul,33.4125,10.8517,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=750
8,361,Tsokar Lake,33.304,78.008,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=361
9,476,sylvite occurrence,47.4646,58.946,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=476
10,915,Vaughn,42.373,-104.617,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=915
11,580,Balykley,49.5667,45.1667,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=580
12,583,Boevogor,51.1025,54.9497,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=583
13,429,Bolganmola,49.225,49.597,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=429
14,26,Bury No. 1,-25.0444,145.6056,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=26
15,136,Dachaidan,37.83,95.23,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=136
16,987,Dangxiongcuo,31.5772,86.7268,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=987
17,790,Dologoluka,49.1682,23.6856,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=790
18,988,Fuerti,39.5167,9.0167,not determined,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=988
19,986,Gas Hure,38.1333,90.75,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=986
20,101,Havre-Aubert,47.235,-61.948,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=101
21,861,Hecla Day,32.2896,-103.7813,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=861
22,373,Hormuz Island,27.0663,56.4585,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=373
23,733,Jisr Ash Shaddadi,36.0667,40.75,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=733
24,795,Kalmius-Toretskaya A,48.6683,36.9578,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=795
25,377,Khurghoo,27.5445,56.295,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=377
26,448,Lake Inder,48.4603,51.86,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=448
27,629,Linevenoe,51.1406,54.1169,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=629
28,636,Mertvosol,51.2747,54.8981,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=636
29,639,Mokrousov,51.293,48.025,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=639
30,475,occurrence,48.6678,58.499,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=475
31,956,Petrobras potash occurrence,-3.6626,-58.9041,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=956
32,653,Roven,50.7667,46.05,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=653
33,968,Salinas Grandes,-23.623,-65.873,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=968
34,775,Sundukli,38.3449,64.4709,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=775
35,510,Tauorga,31.917,15.2,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=510
36,709,Yartsevo,55.0667,32.6667,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=709
37,514,Zuwarah,32.933,12.067,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=514
38,62,Aneba,-2.796,-58.774,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=62
39,162,Mengla,21.4667,101.5833,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=162
40,577,Abganerov,48.1374,44.1059,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=577
41,499,Abu Khammash,33.0484,11.7264,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=499
