,deposit_id,deposit_name,url
0,Sw00017,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Sw00017
1,Mr00006,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00006
2,Mf00003,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00003
3,Mf00005,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00005
4,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
5,Mr00007,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00007
6,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
7,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
8,Mr00009,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00009
9,Mf00013,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00013
10,Mo00120,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00120
11,Mr00014,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00014
12,Mr00015,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00015
13,Mf00016,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00016
14,Mo00123,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00123
15,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
16,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
17,Mo00120,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00120
18,Mo00123,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00123
19,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
20,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
21,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
22,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
23,Mr00009,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00009
24,Mr00014,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00014
25,Mr00015,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00015
26,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
27,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
28,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
29,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
30,Mr00014,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00014
31,Mo00123,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00123
32,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
33,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
34,Mo00120,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00120
35,Mo00123,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00123
36,-1111,NA,https://mrdata.usgs.gov/deposit/json/Graphite--1111
37,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
38,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
39,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
40,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
41,Mo00120,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00120
42,Mo00120,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00120
43,Mr00014,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00014
44,Mr00015,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00015
45,Mr00015,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00015
46,Mf00003,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00003
47,Mf00005,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00005
48,Mr00007,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00007
49,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
50,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
51,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
52,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
53,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
54,Mr00009,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00009
55,Mr00009,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00009
56,Mr00009,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00009
57,Mf00013,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00013
58,Mr00014,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00014
59,Mr00015,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00015
60,Mf00016,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00016
61,Mr00006,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00006
62,Mf00003,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00003
63,Mf00005,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00005
64,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
65,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
66,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
67,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
68,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
69,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
70,Mo00118,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00118
71,Mr00007,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00007
72,Mr00007,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00007
73,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
74,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
75,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
76,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
77,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
78,Mo00119,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00119
79,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
80,Mr00008,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00008
81,Mr00009,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00009
82,Mf00013,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00013
83,Mf00013,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00013
84,Mo00120,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00120
85,Mr00014,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00014
86,Mr00015,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mr00015
87,Mf00016,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mf00016
88,Mo00123,NA,https://mrdata.usgs.gov/deposit/json/Graphite-Mo00123
