,deposit_id,deposit_name,url
0,Sw00016,Surface Workings,https://mrdata.usgs.gov/deposit/json/In-Sw00016
1,Sw00005,Surface Workings,https://mrdata.usgs.gov/deposit/json/In-Sw00005
2,Sw00015,Surface Workings,https://mrdata.usgs.gov/deposit/json/In-Sw00015
3,Sw00045,Surface Workings,https://mrdata.usgs.gov/deposit/json/In-Sw00045
4,Sw00042,Surface Workings,https://mrdata.usgs.gov/deposit/json/In-Sw00042
5,Sw00044,Surface Workings,https://mrdata.usgs.gov/deposit/json/In-Sw00044
6,Sw00046,Surface Workings,https://mrdata.usgs.gov/deposit/json/In-Sw00046
7,Mf00236,"Chino, Chino mine",https://mrdata.usgs.gov/deposit/json/In-Mf00236
8,Mo00243,"Chino, Santa Rita deposit",https://mrdata.usgs.gov/deposit/json/In-Mo00243
9,Mo00847,"Chino, Leach stockpiles",https://mrdata.usgs.gov/deposit/json/In-Mo00847
10,Mr00067,Santa Rita district,https://mrdata.usgs.gov/deposit/json/In-Mr00067
11,Mr00084,Fish Springs district,https://mrdata.usgs.gov/deposit/json/In-Mr00084
12,Mo00129,"West Desert, West Desert deposit",https://mrdata.usgs.gov/deposit/json/In-Mo00129
13,Mf00022,"Bingham, Barneys Canyon mine",https://mrdata.usgs.gov/deposit/json/In-Mf00022
14,Mf00023,"Bingham, Melco mine",https://mrdata.usgs.gov/deposit/json/In-Mf00023
15,Mf00025,"Bingham, Bingham Pb-Zn-Ag mines",https://mrdata.usgs.gov/deposit/json/In-Mf00025
16,Mf00235,"Bingham, Bingham Canyon mine",https://mrdata.usgs.gov/deposit/json/In-Mf00235
17,Mf00274,"Bingham, Carr Fork mine",https://mrdata.usgs.gov/deposit/json/In-Mf00274
18,Mo00088,"Bingham, Barneys Canyon deposit",https://mrdata.usgs.gov/deposit/json/In-Mo00088
19,Mo00091,"Bingham, Melco deposit",https://mrdata.usgs.gov/deposit/json/In-Mo00091
20,Mo00130,"Bingham, Bingham polymetallic Pb-Zn-Cu-Ag-Au veins",https://mrdata.usgs.gov/deposit/json/In-Mo00130
21,Mo00284,"Bingham, Bingham porphyry Cu deposit",https://mrdata.usgs.gov/deposit/json/In-Mo00284
22,Mo00352,"Bingham, Bingham skarn deposit",https://mrdata.usgs.gov/deposit/json/In-Mo00352
23,Mr00077,Bingham district,https://mrdata.usgs.gov/deposit/json/In-Mr00077
