,deposit_id,deposit_name,url
0,AK00022,Bokan Mountain,https://mrdata.usgs.gov/deposit/json/REE-AK00022
1,AK00031,Draken Claims,https://mrdata.usgs.gov/deposit/json/REE-AK00031
2,AK00057,Salmon Bay,https://mrdata.usgs.gov/deposit/json/REE-AK00057
3,AK00089,Dora Bay,https://mrdata.usgs.gov/deposit/json/REE-AK00089
4,AK00092,Aichilik River,https://mrdata.usgs.gov/deposit/json/REE-AK00092
5,AK00098,Boston Ridge,https://mrdata.usgs.gov/deposit/json/REE-AK00098
6,AK00101,Cape Darby,https://mrdata.usgs.gov/deposit/json/REE-AK00101
7,AK00102,Clear Creek,https://mrdata.usgs.gov/deposit/json/REE-AK00102
8,AK00104,Eudialyte,https://mrdata.usgs.gov/deposit/json/REE-AK00104
9,AK00108,Golovnin Bay,https://mrdata.usgs.gov/deposit/json/REE-AK00108
10,AK00113,Hot Springs Creek,https://mrdata.usgs.gov/deposit/json/REE-AK00113
11,AK00120,Karshner Creek,https://mrdata.usgs.gov/deposit/json/REE-AK00120
12,AK00122,Kilolitna River,https://mrdata.usgs.gov/deposit/json/REE-AK00122
13,AK00123,Kwiniuk River,https://mrdata.usgs.gov/deposit/json/REE-AK00123
14,AK00127,Lucky Six,https://mrdata.usgs.gov/deposit/json/REE-AK00127
15,AK00130,No Name Creek,https://mrdata.usgs.gov/deposit/json/REE-AK00130
16,AK00132,Paystreak and Marker Veins,https://mrdata.usgs.gov/deposit/json/REE-AK00132
17,AK00135,Ray River,https://mrdata.usgs.gov/deposit/json/REE-AK00135
18,AK00138,Ruby Creek,https://mrdata.usgs.gov/deposit/json/REE-AK00138
19,AK00140,Section 35,https://mrdata.usgs.gov/deposit/json/REE-AK00140
20,AK00146,Tofty Ridge,https://mrdata.usgs.gov/deposit/json/REE-AK00146
21,AK00152,Unnamed (Half-Way Pillar),https://mrdata.usgs.gov/deposit/json/REE-AK00152
22,AK00156,Unnamed (east fork of Kilolitna River),https://mrdata.usgs.gov/deposit/json/REE-AK00156
23,AK00157,Unnamed (east of Berg Mountain),https://mrdata.usgs.gov/deposit/json/REE-AK00157
24,AK00158,Unnamed (east of Eagle Creek),https://mrdata.usgs.gov/deposit/json/REE-AK00158
25,AK00159,Unnamed (in Zane Hills),https://mrdata.usgs.gov/deposit/json/REE-AK00159
26,AK00164,Unnamed (near Mallard Bay),https://mrdata.usgs.gov/deposit/json/REE-AK00164
27,AK00166,Unnamed (near Salmon Bay),https://mrdata.usgs.gov/deposit/json/REE-AK00166
28,AK00167,Unnamed (near Salmon River),https://mrdata.usgs.gov/deposit/json/REE-AK00167
29,AK00168,Unnamed (near Swift River),https://mrdata.usgs.gov/deposit/json/REE-AK00168
30,AK00171,"Unnamed (north shore, Stone Rock Bay)",https://mrdata.usgs.gov/deposit/json/REE-AK00171
31,AK00172,Unnamed (northeast of lower Sue Creek),https://mrdata.usgs.gov/deposit/json/REE-AK00172
32,AK00174,Unnamed (northeast ridge of Caribou Mountain),https://mrdata.usgs.gov/deposit/json/REE-AK00174
33,AK00175,Unnamed (on Rock Creek),https://mrdata.usgs.gov/deposit/json/REE-AK00175
34,AK00176,Unnamed (on Slate Creek),https://mrdata.usgs.gov/deposit/json/REE-AK00176
35,AK00183,Unnamed (tributaries to Clear Creek),https://mrdata.usgs.gov/deposit/json/REE-AK00183
36,AK00188,Unnamed (tributary to Vulcan Creek),https://mrdata.usgs.gov/deposit/json/REE-AK00188
37,AK00189,Unnamed (upper Idaho Gulch),https://mrdata.usgs.gov/deposit/json/REE-AK00189
38,AK00192,William Henry,https://mrdata.usgs.gov/deposit/json/REE-AK00192
39,AK00194,Windy Fork Placer,https://mrdata.usgs.gov/deposit/json/REE-AK00194
40,AR00004,Magnet Cove District,https://mrdata.usgs.gov/deposit/json/REE-AR00004
41,AZ00017,La Paz,https://mrdata.usgs.gov/deposit/json/REE-AZ00017
42,CA00041,Mountain Pass,https://mrdata.usgs.gov/deposit/json/REE-CA00041
43,CA00053,Music Valley,https://mrdata.usgs.gov/deposit/json/REE-CA00053
44,CO00019,Iron Hill Carbonatite Complex,https://mrdata.usgs.gov/deposit/json/REE-CO00019
45,CO00029,Climax,https://mrdata.usgs.gov/deposit/json/REE-CO00029
46,CO00031,Wet Mountains Area,https://mrdata.usgs.gov/deposit/json/REE-CO00031
47,CO00032,Powderhorn District,https://mrdata.usgs.gov/deposit/json/REE-CO00032
48,CO00033,Powderhorn Exploration Project,https://mrdata.usgs.gov/deposit/json/REE-CO00033
49,CO00036,Climax District,https://mrdata.usgs.gov/deposit/json/REE-CO00036
50,FL00001,Green Cove Springs,https://mrdata.usgs.gov/deposit/json/REE-FL00001
51,FL00003,Trail Ridge,https://mrdata.usgs.gov/deposit/json/REE-FL00003
52,FL00004,Ponte Vedra,https://mrdata.usgs.gov/deposit/json/REE-FL00004
53,FL00005,Jacksonville,https://mrdata.usgs.gov/deposit/json/REE-FL00005
54,FL00007,Melbourne,https://mrdata.usgs.gov/deposit/json/REE-FL00007
55,FL00008,Vero Beach,https://mrdata.usgs.gov/deposit/json/REE-FL00008
56,FL00010,Boulogne,https://mrdata.usgs.gov/deposit/json/REE-FL00010
57,FL00011,Little Talbot Island,https://mrdata.usgs.gov/deposit/json/REE-FL00011
58,GA00007,Cumberland Island,https://mrdata.usgs.gov/deposit/json/REE-GA00007
59,GA00009,Folkston,https://mrdata.usgs.gov/deposit/json/REE-GA00009
60,GA00011,Cabin Bluff,https://mrdata.usgs.gov/deposit/json/REE-GA00011
