,deposit_id,deposit_name,url
0,Sw00037,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00037
1,Sw00027,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00027
2,Sw00038,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00038
3,Sw00026,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00026
4,Sw00013,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00013
5,Sw00029,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00029
6,Sw00028,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00028
7,Sw00031,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00031
8,Sw00030,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00030
9,Sw00032,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00032
10,Sw00036,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00036
11,Sw00014,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00014
12,Sw00033,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00033
13,Sw00035,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00035
14,Sw00039,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00039
15,Sw00012,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00012
16,Sw00020,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00020
17,Sw00021,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00021
18,Sw00019,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00019
19,Sw00022,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00022
20,Sw00023,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00023
21,Sw00016,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00016
22,Sw00025,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00025
23,Sw00015,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00015
24,Sw00102,Surface workings,https://mrdata.usgs.gov/deposit/json/Re-Sw00102
25,Mo00237,"Pebble, East Zone",https://mrdata.usgs.gov/deposit/json/Re-Mo00237
26,Mo00238,"Pebble, West Zone",https://mrdata.usgs.gov/deposit/json/Re-Mo00238
27,Mo00265,Quartz Hill,https://mrdata.usgs.gov/deposit/json/Re-Mo00265
28,Mf00230,Bagdad Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00230
29,Mo00234,Bagdad,https://mrdata.usgs.gov/deposit/json/Re-Mo00234
30,Mf00231,Morenci Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00231
31,Mo00236,Morenci,https://mrdata.usgs.gov/deposit/json/Re-Mo00236
32,Mf00234,Sierrita Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00234
33,Mo00239,Sierrita,https://mrdata.usgs.gov/deposit/json/Re-Mo00239
34,Mr00011,Pima District,https://mrdata.usgs.gov/deposit/json/Re-Mr00011
35,Mf00251,Castle Dome Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00251
36,Mf00252,Pinto Valley Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00252
37,Mo00277,Castle Dome,https://mrdata.usgs.gov/deposit/json/Re-Mo00277
38,Mo00278,Pinto Valley,https://mrdata.usgs.gov/deposit/json/Re-Mo00278
39,Mf00247,American Eagle Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00247
40,Mf00248,Copper Prince Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00248
41,Mf00249,Old Reliable Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00249
42,Mf00250,Childs-Aldwinkle Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00250
43,Mo00270,Keel-American Eagle,https://mrdata.usgs.gov/deposit/json/Re-Mo00270
44,Mo00271,Mammoth,https://mrdata.usgs.gov/deposit/json/Re-Mo00271
45,Mo00272,Childs-Adwinkle,https://mrdata.usgs.gov/deposit/json/Re-Mo00272
46,Mo00273,Old Reliable,https://mrdata.usgs.gov/deposit/json/Re-Mo00273
47,Mo00274,Copper Prince,https://mrdata.usgs.gov/deposit/json/Re-Mo00274
48,Mo00275,Global Breccia,https://mrdata.usgs.gov/deposit/json/Re-Mo00275
49,Mf00273,Miami Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00273
50,Mo00349,Miami-Inspiration,https://mrdata.usgs.gov/deposit/json/Re-Mo00349
51,Mf00253,Mineral Park Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00253
52,Mo00279,Mineral Park,https://mrdata.usgs.gov/deposit/json/Re-Mo00279
53,Mf00272,Ray Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00272
54,Mo00348,Ray,https://mrdata.usgs.gov/deposit/json/Re-Mo00348
55,Mf00268,El Tiro Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00268
56,Mf00269,Oxide Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00269
57,Mf00270,West Oxide Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00270
58,Mf00271,North Silver Bell Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00271
59,Mo00341,North Silver Bell,https://mrdata.usgs.gov/deposit/json/Re-Mo00341
60,Mo00342,El Tiro,https://mrdata.usgs.gov/deposit/json/Re-Mo00342
61,Mo00343,Oxide,https://mrdata.usgs.gov/deposit/json/Re-Mo00343
62,Mo00344,West Oxide,https://mrdata.usgs.gov/deposit/json/Re-Mo00344
63,Mf00254,Twin Buttes Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00254
64,Mo00309,Twin Buttes orebody,https://mrdata.usgs.gov/deposit/json/Re-Mo00309
65,Mo00310,Northwest orebody,https://mrdata.usgs.gov/deposit/json/Re-Mo00310
66,Mo00311,Arkose orebody,https://mrdata.usgs.gov/deposit/json/Re-Mo00311
67,Mo00312,Shaft orebody,https://mrdata.usgs.gov/deposit/json/Re-Mo00312
68,Mo00313,North Porphyry Contact orebody,https://mrdata.usgs.gov/deposit/json/Re-Mo00313
69,Mo00314,Northeast orebody,https://mrdata.usgs.gov/deposit/json/Re-Mo00314
70,Mf00263,Pima Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00263
71,Mf00264,Mission Mine Complex,https://mrdata.usgs.gov/deposit/json/Re-Mf00264
72,Mf00265,San Xavier North Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00265
73,Mo00328,Mission,https://mrdata.usgs.gov/deposit/json/Re-Mo00328
74,Mo00329,Pima,https://mrdata.usgs.gov/deposit/json/Re-Mo00329
75,Mf00258,Sun Valley Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00258
76,Mo00318,Sun Valley,https://mrdata.usgs.gov/deposit/json/Re-Mo00318
77,Mf00266,San Manuel Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00266
78,Mo00339,San Manuel,https://mrdata.usgs.gov/deposit/json/Re-Mo00339
79,Mo00340,Kalamazoo,https://mrdata.usgs.gov/deposit/json/Re-Mo00340
80,Mr00051,Globe-Miami District,https://mrdata.usgs.gov/deposit/json/Re-Mr00051
81,Mr00070,Silver Bell District,https://mrdata.usgs.gov/deposit/json/Re-Mr00070
82,Mr00071,Vermilion Cliffs District,https://mrdata.usgs.gov/deposit/json/Re-Mr00071
83,Mr00072,Bunker Hill District,https://mrdata.usgs.gov/deposit/json/Re-Mr00072
84,Mr00073,San Manuel District,https://mrdata.usgs.gov/deposit/json/Re-Mr00073
85,Mr00074,Wallapai District,https://mrdata.usgs.gov/deposit/json/Re-Mr00074
86,Mr00075,Eureka District,https://mrdata.usgs.gov/deposit/json/Re-Mr00075
87,Mr00076,Mineral Creek District,https://mrdata.usgs.gov/deposit/json/Re-Mr00076
88,Mf00240,Climax Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00240
89,Mo00262,Climax,https://mrdata.usgs.gov/deposit/json/Re-Mo00262
90,Mf00241,Henderson Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00241
91,Mf00242,Urad Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00242
92,Mo00263,Henderson,https://mrdata.usgs.gov/deposit/json/Re-Mo00263
93,Mo00264,Urad,https://mrdata.usgs.gov/deposit/json/Re-Mo00264
94,Mr00068,Dailey District,https://mrdata.usgs.gov/deposit/json/Re-Mr00068
95,Mr00069,Climax District,https://mrdata.usgs.gov/deposit/json/Re-Mr00069
96,Mo00508,Tomichi,https://mrdata.usgs.gov/deposit/json/Re-Mo00508
97,Mr00032,Tomichi District,https://mrdata.usgs.gov/deposit/json/Re-Mr00032
98,Mf00243,Thompson Creek Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00243
99,Mo00266,Thompson Creek,https://mrdata.usgs.gov/deposit/json/Re-Mo00266
100,Mr00065,Bayhorse District,https://mrdata.usgs.gov/deposit/json/Re-Mr00065
101,Mo00509,CUMO,https://mrdata.usgs.gov/deposit/json/Re-Mo00509
102,Mf00244,Berkeley Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00244
103,Mf00245,Continental Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00245
104,Mo00267,Butte,https://mrdata.usgs.gov/deposit/json/Re-Mo00267
105,Mr00016,Butte District,https://mrdata.usgs.gov/deposit/json/Re-Mr00016
106,Mf00236,Chino Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00236
107,Mo00243,Santa Rita,https://mrdata.usgs.gov/deposit/json/Re-Mo00243
108,Mf00246,Questa Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00246
109,Mo00268,Questa,https://mrdata.usgs.gov/deposit/json/Re-Mo00268
110,Mr00066,Questa District,https://mrdata.usgs.gov/deposit/json/Re-Mr00066
111,Mr00067,Santa Rita District,https://mrdata.usgs.gov/deposit/json/Re-Mr00067
112,Mf00276,Ruth Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00276
113,Mf00277,Liberty Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00277
114,Mf00278,Tripp-Veteran Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00278
115,Mf00279,Robinson Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00279
116,Mf00363,Kimbley Pit,https://mrdata.usgs.gov/deposit/json/Re-Mf00363
117,Mf00365,Emma Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00365
118,Mo00356,Kimbley,https://mrdata.usgs.gov/deposit/json/Re-Mo00356
119,Mo00357,Ruth,https://mrdata.usgs.gov/deposit/json/Re-Mo00357
120,Mo00358,Liberty,https://mrdata.usgs.gov/deposit/json/Re-Mo00358
121,Mo00359,Tripp,https://mrdata.usgs.gov/deposit/json/Re-Mo00359
122,Mo00360,Veteran,https://mrdata.usgs.gov/deposit/json/Re-Mo00360
123,Mo00445,Emma,https://mrdata.usgs.gov/deposit/json/Re-Mo00445
124,Mo00447,Alpha,https://mrdata.usgs.gov/deposit/json/Re-Mo00447
125,Mo00448,Richard,https://mrdata.usgs.gov/deposit/json/Re-Mo00448
126,Mo00449,Taylor,https://mrdata.usgs.gov/deposit/json/Re-Mo00449
127,Mo00450,Wedge,https://mrdata.usgs.gov/deposit/json/Re-Mo00450
128,Mr00063,Robinson District,https://mrdata.usgs.gov/deposit/json/Re-Mr00063
129,Mf00256,Runge Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00256
130,Mo00317,Runge,https://mrdata.usgs.gov/deposit/json/Re-Mo00317
131,Mf00235,Bingham Canyon Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00235
132,Mf00274,Carr Fork Mine,https://mrdata.usgs.gov/deposit/json/Re-Mf00274
133,Mo00284,Bingham,https://mrdata.usgs.gov/deposit/json/Re-Mo00284
134,Mo00352,Carr Fork,https://mrdata.usgs.gov/deposit/json/Re-Mo00352
135,Mo00353,North Ore Shoot,https://mrdata.usgs.gov/deposit/json/Re-Mo00353
136,Mo00354,Fortuna,https://mrdata.usgs.gov/deposit/json/Re-Mo00354
