,deposit_id,deposit_name,url
71,Sw00110,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00110
72,Sw00111,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00111
73,Sw00113,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00113
74,Sw00112,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00112
75,Sw00116,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00116
76,Sw00115,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00115
77,Sw00117,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00117
78,Sw00114,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00114
79,Sw00019,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00019
80,Sw00121,NA,https://mrdata.usgs.gov/deposit/json/Sn-Sw00121
81,Mr00082,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00082
82,Mr00085,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00085
83,Mf00533,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00533
84,Mo00688,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00688
85,Mr00087,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00087
86,Mf00354,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00354
87,Mo00527,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00527
88,Mo00528,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00528
89,Mr00088,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00088
90,Mr00089,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00089
91,Mr00104,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00104
92,Mr00105,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00105
93,Mr00141,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00141
94,Mr00013,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mr00013
95,Mf00343,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00343
96,Mo00689,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00689
97,Mf00347,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00347
98,Mo00378,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00378
99,Mf00440,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00440
100,Mo00337,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00337
101,Mo00330,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00330
102,Mo00332,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00332
103,Mo00336,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00336
104,Mf00350,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mf00350
105,Mo00547,NA,https://mrdata.usgs.gov/deposit/json/Sn-Mo00547
