,deposit_id,deposit_name,url
0,Mr00012,Ketchikan District,https://mrdata.usgs.gov/deposit/json/Ta-Mr00012
1,Mf00237,"Bokan Mountain, Ross-Adams mine",https://mrdata.usgs.gov/deposit/json/Ta-Mf00237
2,Mo00219,"Bokan Mountain, Cheri deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00219
3,Mo00244,"Bokan Mountain, Geiger deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00244
4,Mo00245,"Bokan Mountain, Geoduck deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00245
5,Mo00246,"Bokan Mountain, I&L Zone",https://mrdata.usgs.gov/deposit/json/Ta-Mo00246
6,Mo00247,"Bokan Mountain, Ross-Adams deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00247
7,Mo00248,"Bokan Mountain, Sunday Lake deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00248
8,Mo00250,"Bokan Mountain, Upper Cheri deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00250
9,Mo00252,"Bokan Mountain, Dotson Zone",https://mrdata.usgs.gov/deposit/json/Ta-Mo00252
10,Mo00554,"Bokan Mountain, IL&M deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00554
11,Mr00176,Sierra Blanca mining area,https://mrdata.usgs.gov/deposit/json/Ta-Mr00176
12,Mo00233,"Round Top, Round Top deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00233
13,Mo00219,"Bokan Mountain, Cheri deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00219
14,Mo00244,"Bokan Mountain, Geiger deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00244
15,Mo00245,"Bokan Mountain, Geoduck deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00245
16,Mo00246,"Bokan Mountain, I&L Zone",https://mrdata.usgs.gov/deposit/json/Ta-Mo00246
17,Mo00247,"Bokan Mountain, Ross-Adams deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00247
18,Mo00248,"Bokan Mountain, Sunday Lake deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00248
19,Mo00250,"Bokan Mountain, Upper Cheri deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00250
20,Mo00252,"Bokan Mountain, Dotson Zone",https://mrdata.usgs.gov/deposit/json/Ta-Mo00252
21,Mo00554,"Bokan Mountain, IL&M deposit",https://mrdata.usgs.gov/deposit/json/Ta-Mo00554
