,path,deposit_id,name,longitude,latitude,deposit_type,url
0,mrdata_json/ardf/NB072.json,NB072,['Notch Creek'],-142.3388,62.1786,"['Placer Au (Cox and Singer, 1986; model 39a)', '39a']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=NB072
1,mrdata_json/ardf/ID038.json,ID038,['Unnamed (east of upper Yankee Creek)'],-156.38745,62.97967,"['36a or 20c', 'Low sulfide gold-quartz vein or Porphyry gold-copper deposit; (Cox and Singer, 1986; models 36a and 20c); possibly the porphyry gold type deposit  of Hollister (1992); or the peraluminous granite, porphyry gold-polymetallic type deposit of Bundtzen and Miller (1997).']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=ID038
2,mrdata_json/ardf/CH006.json,CH006,['Slate Creek'],-149.86,67.18,"['24c?', 'Volcanogenic Mn? (Cox and Singer, 1986; model 24c?).']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=CH006
3,mrdata_json/ardf/MH045.json,MH045,"['Unnamed (south end of Clearwater Mountains, east of Clearwater Creek)']",-146.8962,63.1669,"['23', 'Basaltic Cu (Cox and Singer, 1986; model 23).']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=MH045
4,mrdata_json/ardf/IL033.json,IL033,['Golden Fleece (Emerald Lake)'],-154.7608,59.3031,"['36a', 'Low-sulfide gold-quartz veins (Cox and Singer, 1986; model 36a).']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=IL033
5,mrdata_json/ardf/HW030.json,HW030,['Unnamed (headwaters of Safari Creek)'],-157.7223,68.3498,"['Epigenetic, galena-sphalerite pods and lenses in Upper Devonian sandstone.', None]",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=HW030
6,mrdata_json/ardf/VA003.json,VA003,['Unnamed (west of Kaina Lake)'],-146.2221,61.8355,[None],https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=VA003
7,mrdata_json/ardf/TL063.json,TL063,['Unnamed (near Portage Creek)'],-152.928,62.002,[None],https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=TL063
8,mrdata_json/ardf/PM067.json,PM067,"['Orange Mountain', 'Unga']",-160.621,55.209,"[None, 'Epithermal gold veins']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=PM067
9,mrdata_json/ardf/TE040.json,TE040,['Idaho'],-167.177,65.447,"['14b, 14c', 'Skarn, vein, and replacement in limestone.  Tin skarn (model 14b) and/or replacement tin (model 14c) model of Cox and Singer (1986) may be applicable']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=TE040
10,mrdata_json/ardf/SO150.json,SO150,['Unnamed (at head of Gold Run Creek)'],-164.045,64.874,"[None, 'Malachite and pyrite in silicified marble.']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=SO150
11,mrdata_json/ardf/SI077.json,SI077,['Unnamed (near Triplet Island)'],-136.2265,57.7254,"[None, 'Volcanogenic massive-sulfide deposit?']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=SI077
12,mrdata_json/ardf/MH174.json,MH174,['Unnamed (northeast of Sevenmile Lake)'],-146.1466,63.2192,"['Unclassified.', None]",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=MH174
13,mrdata_json/ardf/MH322.json,MH322,['ED'],-144.2923,63.1722,"['28a', 'Kuroko massive sulfide (Cox and Singer, 1986; model                              28a).']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=MH322
14,mrdata_json/ardf/MG078.json,MG078,['Unnamed (in tributary to the Tatina River)'],-153.05,62.381,"['19a', 'Polymetallic replacement (Cox and Singer, 1986; model 19a).']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=MG078
15,mrdata_json/ardf/TE017.json,TE017,['Lynx Creek'],-167.719,65.644,"['39e', 'Alluvial tin  placer (Cox and Singer, 1986; model 39e)']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=TE017
16,mrdata_json/ardf/MH288.json,MH288,['Chistochina Glacier'],-144.8641,63.1778,"['Placer Au-PGE (Cox and Singer, 1986; model 39a).', '39a']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=MH288
17,mrdata_json/ardf/OP008.json,OP008,"['Keating Gulch', 'Esperanto Creek']",-156.7609,63.4273,"['Placer Au (Cox and Singer, 1986; model 39a)', '39a']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=OP008
18,mrdata_json/ardf/NB093.json,NB093,['Unnamed (north of lower Chathenda Creek)'],-141.8933,62.0819,"['Polymetallic veins (Cox and Singer, 1986; model 22c)', '22c']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=NB093
19,mrdata_json/ardf/HE144.json,HE144,['Unnamed (southwest foot of Reindeer Hills)'],-148.84,63.39,[None],https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=HE144
20,mrdata_json/ardf/MG067.json,MG067,['Bowser Creek-Northeast'],-153.69,62.191,"['Lead-zinc skarn (Cox and Singer, 1986; model 18c).', '18c']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=MG067
21,mrdata_json/ardf/TC026.json,TC026,"['Silver Lining', 'Draken']",-142.286,63.6474,"['Low sulfide, gold-quartz veins.', None]",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=TC026
22,mrdata_json/ardf/NB018.json,NB018,['Bee Jay'],-142.9914,62.5115,[None],https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=NB018
23,mrdata_json/ardf/TK092.json,TK092,['Unnamed (northeast of Talkeetna River)'],-148.5668,62.4731,"['Basaltic Cu? (Cox and Singer, 1986; model 23?)', '23?']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=TK092
24,mrdata_json/ardf/TC018.json,TC018,['Noah'],-143.41,63.16,"['21a?', 'Possibly a Cu-porphyry deposit (Cox and Singer, 1986; model 21a)']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=TC018
25,mrdata_json/ardf/HE047.json,HE047,['Silverdikes'],-149.61,63.21,"['Polymetallic vein (Cox and Singer, 1986; model 22c)', '22c']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=HE047
26,mrdata_json/ardf/PA039.json,PA039,['Unnamed (in Table Bay)'],-134.252,56.13541,"['Tungsten skarn (Cox and Singer, 1986; model 14a).', '14a']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=PA039
27,mrdata_json/ardf/TK013.json,TK013,['Unnamed (near Devils Canyon)'],-149.2926,62.8226,"['22c?', 'Polymetallic vein? (Cox and Singer, 1986; model  22c?)']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=TK013
28,mrdata_json/ardf/HE057.json,HE057,['Ready Cash'],-149.86,63.15,"['Cu skarn and younger Ag-Pb-Sn veins (Cox and Singer, 1986; models 18b, 15b)', '18b, 15b']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=HE057
29,mrdata_json/ardf/EA138.json,EA138,['Unnamed (southeast of hill 3560)'],-141.673,64.0472,"['Fault-hosted gold.', None]",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=EA138
30,mrdata_json/ardf/SR114.json,SR114,['Gilnow'],-147.2696,60.9501,"['24b', 'Besshi massive sulfide (Cox and Singer, 1986; model 24b)']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=SR114
31,mrdata_json/ardf/NM261.json,NM261,['Cooper Gulch (placer and M. Charles lode occurrence)'],-165.3805,64.556,"['Alluvial placer Au (Cox and Singer, 1986; model 39a).', '39a']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=NM261
32,mrdata_json/ardf/SO048.json,SO048,"['Benson Gulch', 'Basin Creek', 'Melsing Creek']",-163.653,64.901,"['Placer Au-PGE (Cox and Singer, 1986; model 39a).', '39a']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=SO048
33,mrdata_json/ardf/JU025.json,JU025,['Unnamed (on Mt. Young)'],-135.5886,58.8583,[None],https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=JU025
34,mrdata_json/ardf/MH003.json,MH003,['Ptarmigan Creek'],-146.5229,63.8029,"['21b', 'Porphyry Mo (Cox and Singer, 1986; model 21b).']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=MH003
35,mrdata_json/ardf/FB034.json,FB034,['Ester Creek'],-148.029,64.846,"['Placer Au (Cox and Singer, 1986; model 39a).', '39a']",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=FB034
