,path,deposit_id,name,latitude,longitude,deposit_type,url
0,mrdata_json/sedexmvt/223.json,223,['Triumph'],44.67,-114.25,"['cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=223
1,mrdata_json/sedexmvt/232.json,232,['Viburnum #27'],37.73,-91.13,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=232
2,mrdata_json/sedexmvt/7.json,7,['Ambaji'],24.33,72.85,"['VMS', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=7
3,mrdata_json/sedexmvt/183.json,183,['Reef Ridge'],63.41,-154.25,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=183
4,mrdata_json/sedexmvt/225.json,225,['Tsongoari'],-18.78,13.41,"['sh-hst', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=225
5,mrdata_json/sedexmvt/95.json,95,['Gorubathan'],26.97,88.65,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=95
6,mrdata_json/sedexmvt/176.json,176,['Qixiashan'],32.14,118.98,"['MVT', 'CD']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=176
7,mrdata_json/sedexmvt/199.json,199,['Schmalgraf'],50.42,6.02,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=199
8,mrdata_json/sedexmvt/205.json,205,['Sindesar Khurd'],24.01,74.23,"['unclassified', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=205
9,mrdata_json/sedexmvt/98.json,98,['Guanmenshan'],42.66,124.32,"['UN', 'MVT']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=98
10,mrdata_json/sedexmvt/97.json,97,['Grum'],62.27,-133.22,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=97
11,mrdata_json/sedexmvt/18.json,18,['Baroi'],24.32,73.68,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=18
12,mrdata_json/sedexmvt/79.json,79,['Fedj-el Adoum'],36.37,9.1,"['salt dome', 'MVT']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=79
13,mrdata_json/sedexmvt/46.json,46,['Carrickittle'],52.51,-8.37,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=46
14,mrdata_json/sedexmvt/96.json,96,['Goz Creek'],64.43,-132.52,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=96
15,mrdata_json/sedexmvt/190.json,190,['Rosh Pinah'],-27.95,16.77,"['cc-hst', 'VMS', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=190
16,mrdata_json/sedexmvt/132.json,132,['Les Malines'],43.89,4.28,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=132
17,mrdata_json/sedexmvt/210.json,210,['Sullivan'],49.71,-116.01,"['cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=210
18,mrdata_json/sedexmvt/68.json,68,['Dy'],62.23,-133.14,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=68
19,mrdata_json/sedexmvt/38.json,38,['Broken Hill'],-29.23,18.78,"['BHT', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=38
20,mrdata_json/sedexmvt/75.json,75,['Esker'],66.97,-113.43,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=75
21,mrdata_json/sedexmvt/198.json,198,['Sawar'],25.75,75.22,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=198
22,mrdata_json/sedexmvt/59.json,59,['Deri'],24.38,72.83,"['VMS', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=59
23,mrdata_json/sedexmvt/99.json,99,['Gunga'],27.73,66.48,"['UN', 'carb-hst', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=99
24,mrdata_json/sedexmvt/159.json,159,['Nova Redencao'],-13.0,-43.5,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=159
25,mrdata_json/sedexmvt/108.json,108,['HYC'],-16.43,136.1,"['CR', 'cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=108
26,mrdata_json/sedexmvt/116.json,116,['Jiashengpan'],41.23,109.25,"['sh-hst', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=116
27,mrdata_json/sedexmvt/115.json,115,['Jersey'],49.1,-117.22,"['MVT', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=115
28,mrdata_json/sedexmvt/180.json,180,['Rampura-Agucha'],25.83,74.73,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=180
29,mrdata_json/sedexmvt/121.json,121,['Kayar'],26.53,74.69,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=121
30,mrdata_json/sedexmvt/19.json,19,['Bayindir'],38.17,27.35,"['cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=19
31,mrdata_json/sedexmvt/228.json,228,['Upton'],45.68,-72.67,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=228
32,mrdata_json/sedexmvt/136.json,136,['Madarpura'],26.5,74.67,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=136
33,mrdata_json/sedexmvt/158.json,158,['North Park'],40.98,-106.49,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=158
34,mrdata_json/sedexmvt/175.json,175,['Qilinchang'],26.6,103.8,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=175
35,mrdata_json/sedexmvt/12.json,12,['Bafangshan'],33.59,106.88,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=12
36,mrdata_json/sedexmvt/13.json,13,['Bajta Central'],25.83,75.27,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=13
37,mrdata_json/sedexmvt/188.json,188,['River Jordan'],51.13,-118.41,"['cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=188
38,mrdata_json/sedexmvt/237.json,237,['Xidinggou'],33.1,109.15,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=237
39,mrdata_json/sedexmvt/36.json,36,['Boukdema-Kef Semmah'],36.21,4.89,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=36
40,mrdata_json/sedexmvt/6.json,6,['Allenwood West'],53.29,6.9,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=6
41,mrdata_json/sedexmvt/94.json,94,['Gorno'],45.52,9.5,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=94
42,mrdata_json/sedexmvt/22.json,22,['Berg Aukas'],-19.57,18.26,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=22
43,mrdata_json/sedexmvt/125.json,125,['Komdok'],41.0,129.65,"['UN', 'MVT']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=125
44,mrdata_json/sedexmvt/167.json,167,['Pering'],-27.43,24.27,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=167
45,mrdata_json/sedexmvt/212.json,212,['Swim'],62.21,-133.03,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=212
46,mrdata_json/sedexmvt/76.json,76,['Fagundes'],-16.87,-46.52,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=76
47,mrdata_json/sedexmvt/226.json,226,['Tynagh'],53.16,-8.34,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=226
48,mrdata_json/sedexmvt/218.json,218,['Tom'],63.17,-130.14,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=218
49,mrdata_json/sedexmvt/142.json,142,['Mehdiabad'],31.73,54.99,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=142
50,mrdata_json/sedexmvt/165.json,165,['Pend Oreille-Yellowhead'],48.9,-117.3,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=165
51,mrdata_json/sedexmvt/130.json,130,['Lady Loretta'],-19.77,139.07,"['CR', 'cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=130
52,mrdata_json/sedexmvt/1.json,1,['Abbeytown'],54.22,-8.53,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=1
53,mrdata_json/sedexmvt/63.json,63,['Dongshengmiao'],41.65,106.72,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=63
54,mrdata_json/sedexmvt/231.json,231,['Vangorda'],62.25,-133.18,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=231
55,mrdata_json/sedexmvt/82.json,82,['Fossil Downs'],-18.19,125.77,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=82
56,mrdata_json/sedexmvt/42.json,42,['Cadieux'],45.41,-76.71,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=42
57,mrdata_json/sedexmvt/144.json,144,['Mezica'],46.3,14.52,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=144
58,mrdata_json/sedexmvt/40.json,40,['Bulman'],-13.42,134.41,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=40
59,mrdata_json/sedexmvt/35.json,35,['Bou Jabeur'],35.78,8.28,"['salt dome', 'MVT']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=35
60,mrdata_json/sedexmvt/181.json,181,['Rangpo'],27.17,88.53,"['unclassified', 'cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=181
