,path,deposit_id,name,longitude,latitude,deposit_type,url
0,mrdata_json/usmin_Sn/Mo00437.json,Mo00437,Dalton Gulch,-150.843312694,65.098511655,39e - Alluvial placer Sn,https://mrdata.usgs.gov/deposit/json/Sn-Mo00437
6,mrdata_json/usmin_Sn/Mf00350.json,Mf00350,Bartels Mine,-167.956457543,65.5837913760001,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00350
10,mrdata_json/usmin_Sn/Mf00533.json,Mf00533,Goodwin Gulch,-167.919234188,65.587754352,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00533
15,mrdata_json/usmin_Sn/Mo00455.json,Mo00455,Birch Creek,-155.358792281,64.4586643270001,39e - Alluvial placer Sn,https://mrdata.usgs.gov/deposit/json/Sn-Mo00455
20,mrdata_json/usmin_Sn/Sw00115.json,Sw00115,Surface workings,-150.98354067829,65.0603084536345,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Sw00115
21,mrdata_json/usmin_Sn/Mf00573.json,Mf00573,Meeke Mine,-118.742886636,34.836769083,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00573
25,mrdata_json/usmin_Sn/Mf00456.json,Mf00456,Etta Mine,-103.418647257,43.88076177,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00456
29,mrdata_json/usmin_Sn/Mf00571.json,Mf00571,Giant-Volney Mine,-104.049225774,44.3768112650001,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00571
37,mrdata_json/usmin_Sn/Mo00383.json,Mo00383,Lime Peak Pluton,-146.755614576,65.6291255610001,15c - Sn greisen,https://mrdata.usgs.gov/deposit/json/Sn-Mo00383
43,mrdata_json/usmin_Sn/Mo00431.json,Mo00431,Greenstone Creek,-155.532819369,64.2989720730001,39e - Alluvial placer Sn,https://mrdata.usgs.gov/deposit/json/Sn-Mo00431
47,mrdata_json/usmin_Sn/Mf00454.json,Mf00454,Addie Mine,-103.523555793,43.9286704880001,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00454
52,mrdata_json/usmin_Sn/Mo00514.json,Mo00514,Etta,-103.418647257,43.88076177,Lithium pegmatite,https://mrdata.usgs.gov/deposit/json/Sn-Mo00514
56,mrdata_json/usmin_Sn/Mo00462.json,Mo00462,Addie,-103.523555793,43.9286704880001,Tin-Tungsten pegmatite,https://mrdata.usgs.gov/deposit/json/Sn-Mo00462
61,mrdata_json/usmin_Sn/Mf00240.json,Mf00240,Climax Mine,-106.17,39.3700000000001,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00240
66,mrdata_json/usmin_Sn/Mf00439.json,Mf00439,Fifth of July Creek,-155.548857859,64.3809348360001,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00439
69,mrdata_json/usmin_Sn/Mo00429.json,Mo00429,Mason Creek,-153.316666667,65.1833333330001,39e - Alluvial placer Sn,https://mrdata.usgs.gov/deposit/json/Sn-Mo00429
74,mrdata_json/usmin_Sn/Mo00430.json,Mo00430,Fifth of July Creek,-155.548857859,64.3809348360001,39e - Alluvial placer Sn,https://mrdata.usgs.gov/deposit/json/Sn-Mo00430
77,mrdata_json/usmin_Sn/Mr00141.json,Mr00141,Tolovana District,-147.594707782,65.5978897860001,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mr00141
79,mrdata_json/usmin_Sn/Mr00112.json,Mr00112,Hill City District,-103.546246609,43.9242387570001,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mr00112
81,mrdata_json/usmin_Sn/Mf00508.json,Mf00508,No. 1 Mine,-86.192150129,32.9069549590001,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mf00508
82,mrdata_json/usmin_Sn/Mr00082.json,Mr00082,Port Clarence District,-166.481007745,65.652905425,Unknown,https://mrdata.usgs.gov/deposit/json/Sn-Mr00082
