,Unnamed: 0,path,name,longitude,latitude,deposit_type
0,50,mrdata_json/mrds/10000248.json,Bear Creek (lower),-161.13271,59.40927,Fluvial placer gold
1,51,mrdata_json/mrds/10000249.json,Fox Creek,-161.12271,59.36927,Fluvial placer gold
2,52,mrdata_json/mrds/10000250.json,North Spit (Goodnews Bay),-161.87269,59.06925,Fluvial placer gold
3,53,mrdata_json/mrds/10000251.json,Tyone Creek,-161.33273,59.54927,Fluvial placer gold
4,54,mrdata_json/mrds/10000252.json,Jacksmith Creek,-161.58272,59.38926,Fluvial placer gold
5,55,mrdata_json/mrds/10000253.json,Unnamed (tributary to upper Trail Creek),-159.62274,59.98931,Fluvial placer gold
6,56,mrdata_json/mrds/10000254.json,Domingo Creek,-161.52272,59.44926,Fluvial placer gold
7,57,mrdata_json/mrds/10000255.json,Sam Creek,-160.79663,59.83234,Fluvial placer gold
8,58,mrdata_json/mrds/10000256.json,Slate Creek,-161.2327,59.30927,Fluvial placer gold
9,59,mrdata_json/mrds/10000258.json,Unnamed (west bank of Togiak River),-160.17269,59.29929,Vein polymetallic
10,60,mrdata_json/mrds/10000260.json,Olympic Creek,-161.22271,59.33927,Fluvial placer gold
11,61,mrdata_json/mrds/10000261.json,Canyon Creek,-161.11465,59.41927,Fluvial placer gold
12,64,mrdata_json/mrds/10000265.json,Goodnews Bay,-161.75269,59.08925,Fluvial placer PGE
13,97,mrdata_json/mrds/10000406.json,Peter Sather,-150.63253,59.45948,Mesozonal orogenic gold
14,98,mrdata_json/mrds/10000407.json,Goyne,-150.49642,59.51143,Mesozonal orogenic gold
15,99,mrdata_json/mrds/10000408.json,Tidewater,-150.48253,59.50949,Mesozonal orogenic gold
16,100,mrdata_json/mrds/10000409.json,Rossness & Larson,-150.59253,59.55949,Mesozonal orogenic gold
17,101,mrdata_json/mrds/10000410.json,Nuka Bays Mining Company,-150.62059,59.55338,Mesozonal orogenic gold
18,102,mrdata_json/mrds/10000411.json,Johnston & Degan,-150.49253,59.51949,Mesozonal orogenic gold
19,103,mrdata_json/mrds/10000412.json,Hatcher,-150.51059,59.57338,Mesozonal orogenic gold
20,104,mrdata_json/mrds/10000413.json,Glass & Heifner,-150.6806,59.55254,Mesozonal orogenic gold
21,105,mrdata_json/mrds/10000414.json,Alaska Hills Corp.,-150.6406,59.57449,Mesozonal orogenic gold
22,106,mrdata_json/mrds/10000415.json,Charles Frank,-150.58947,59.56255,Mesozonal orogenic gold
23,107,mrdata_json/mrds/10000416.json,Anchor Point,-151.86647,59.76752,Fluvial placer gold
24,108,mrdata_json/mrds/10000423.json,Fairview,-149.28364,59.89452,Mafic-ultramafic VMS
25,109,mrdata_json/mrds/10000424.json,Feather Bed,-149.26948,59.98563,Mafic-ultramafic VMS
26,110,mrdata_json/mrds/10000428.json,Iron Mask,-149.29142,59.90646,Mafic-ultramafic VMS
