,deposit_id,deposit_name,latitude,longitude,deposit_model,url
0,AC001,Chandalar River Headwaters,68.95,-144.07,"Lode; disseminated, Cu in sandstone",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC001
1,AC002,Koness River Headwaters,68.42,-144.6,"Lode; disseminated, Cu in shale.",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC002
2,AC003,Unnamed,68.97,-146.22,"Lode, disseminated Cu in sedimentary rocks.",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC003
3,AC004,Unnamed,68.08,-146.35,"Lode; disseminated, Cu in volcanic tuff.",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC004
4,AC005,Unnamed,68.27,-146.73,"Lode; disseminated, Cu in shale",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC005
5,AC006,Porcupine Lake,68.82,-146.47,,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC006
6,AC007,Ivishak River,68.85,-146.77,Lode; fluorite veinlets,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC007
7,AC008,Unnamed,68.1,-146.58,Lode; Cu in carbonate,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC008
8,AC009,Unknown,68.13,-144.66,,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AC009
9,AD001,Sweeper Cove,51.8478,-176.6439,Polymetallic vein,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD001
10,AD002,Blind Cove,51.792,-176.454,Polymetallic vein?,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD002
11,AD003,Beyer Bay,51.713,-176.73,Polymetallic vein?,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD003
12,AD004,Bay of Islands,51.769,-176.691,,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD004
13,AD005,Finger Bay,51.8283,-176.6069,,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD005
14,AD006,Unnamed,51.8458,-176.6333,,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD006
15,AD007,Boat Harbor,51.8508,-176.6483,Polymetallic vein,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD007
16,AD008,Unnamed,51.8669,-176.6269,,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD008
17,AD009,Unnamed,51.9161,-176.6131,,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD009
18,AD010,Andrew Lake,51.9308,-176.6239,,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AD010
19,AF001,Wm. Douglas Group,58.857,-153.964,"Polymetallic vein ? (Cox and Singer, 1986; model 22c).",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AF001
20,AF002,Big River,58.68,-153.87,"Polymetallic vein, concealed porphyry copper or porphyry copper-molybdenum (Cox and Singer, 1986; models 22c, 17, 21a).",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AF002
21,AF003,Raspberry Beach,58.1,-153.34,"Gold placer (Cox and Singer, 1986; model 39a).",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AF003
22,AF004,Malina Bay,58.24,-153.05,Auriferous quartz vein,https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AF004
23,AF005,Unnamed,58.3,-152.4,"Polymetallic vein ? (Cox and Singer, 1986; model 22c).",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AF005
24,AF006,Muskomee Bay,58.1,-153.07,"Polymetallic vein ? (Cox and Singer, 1986; model 22c).",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AF006
25,AK001,Unnamed (on Salt Island),52.17,-174.64,"Basaltic copper (Cox and Singer, 1986; model 23)",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AK001
26,AN001,Independence,61.792,-149.294,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a)",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN001
27,AN002,Lucky Shot; Willow Creek Mines Inc.,61.779,-149.4078,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a).",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN002
28,AN003,War Baby; Willow Creek Mines Inc.,61.7811,-149.4016,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a).",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN003
29,AN004,Gold Bullion; New Bullion; Ready Bullion; Willow Creek Mines Inc.,61.7898,-149.3292,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a).",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN004
30,AN005,Fern; Fern Gold Mining Co.; Fern Gold Leasing Co.; Fern & Goodell; Bartholf-Isaacs; Marmot,61.825,-149.241,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a)",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN005
31,AN006,Martin; Alaska Free Gold Mining Co.,61.786,-149.289,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a)",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN006
32,AN007,"Gold Cord; Gold Cord Mining, Milling, and Power Co.; Golden Bear Mining Co.",61.797,-149.286,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a)",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN007
33,AN008,Mabel,61.798,-149.215,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a)",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN008
34,AN009,High Grade; Kloss and Associates; Kloss and Snider,61.799,-149.297,"Low-sulfide Au-quartz veins (Cox and Singer, 1986; model 36a)",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN009
35,AN010,Wet Gulch,61.76,-149.49,"Placer Au (Cox and Singer, 1986; model 39a)",https://mrdata.usgs.gov/to-json.php?db=ardf&id=ardf_num&labno=AN010
