,deposit_id,deposit_name,latitude,longitude,deposit_model,url
0,1,,30.03333,63.58333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=1
1,2,,34.65833,63.15,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=2
2,3,,40.05,20.0,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=3
3,4,,40.2166666666667,19.9166666666667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=4
4,5,,40.3833333333333,19.7666666666667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=5
5,7,Djebel Dyr,35.5166666666667,8.15,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=7
6,9,Dra Abiod,35.9,2.75,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=9
7,10,Kef Afoul,35.9,3.56667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=10
8,12,Oued Gueddooul,35.86667,2.85,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=12
9,13,Oued Noual,35.81667,2.81667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=13
10,14,Oum El Adame,35.9,3.03333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=14
11,17,Znadia,35.85,4.9,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=17
12,18,,35.908056,4.906111,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=18
13,19,Djebel Onk,34.716667,8.0,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=19
14,20,Djebel Kouif,35.498889,8.33,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=20
15,21,,35.91,5.018056,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=21
16,22,,35.216944,4.166944,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=22
17,23,Tebessa,35.40417,8.12417,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=23
18,24,,-8.6,13.55,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=24
19,25,,-11.51,16.62,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=25
20,26,Cácata,-5.25,12.5,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=26
21,27,Cambota,-5.02,12.45,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=27
22,29,Chivovo (Tchivovo),-4.92,12.25,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=29
23,30,"Mongo Tango (Mongo-Tanda, Mongo Tando, Cacongo)",-5.17,12.9,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=30
24,31,Seva,-5.03333,12.51667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=31
25,32,Ueca,-5.05,12.21667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=32
26,33,,-12.85,15.25,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=33
27,34,,-5.25,12.92,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=34
28,35,,-7.02,12.9,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=35
29,36,,-6.8,12.9,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=36
30,37,,-6.9833,13.1667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=37
31,38,,-6.95,12.866667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=38
32,39,,-6.8,12.9,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=39
33,40,,-6.8,12.9,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=40
34,44,,-44.91667,-65.966667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=44
35,47,,-23.0,-65.33,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=47
36,48,"Los Apires, El Risco",-33.0,-69.0,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=48
37,49,,-38.38333,-70.03333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=49
38,52,,-41.83333,-65.333333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=52
39,53,,-31.11222,-68.64167,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=53
40,55,,-47.2,-65.75,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=55
41,57,,-49.5,-68.5,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=57
42,59,,-50.33333,-72.5,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=59
43,61,,-50.23333,-68.91667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=61
44,63,,-49.5,-71.33333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=63
45,65,,-35.666667,150.166667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=65
46,66,,-29.383333,153.833333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=66
47,67,,-30.416667,153.433333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=67
48,68,,-31.176667,153.231667,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=68
49,69,,-31.333333,142.333333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=69
50,70,,-33.0,153.0,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=70
51,71,,-33.666667,151.333333,NA,https://mrdata.usgs.gov/to-json.php?db=phosphate&id=rec_no&labno=71
