,deposit_id,deposit_name,latitude,longitude,deposit_model,url
0,1,Agua  Rica,-27.3708333333333,-66.28,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=1
1,2,Alcaparrosa,-31.3,-69.3666666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=2
2,3,Arroyo  Chita,-30.5,-69.75,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=3
3,4,Bajo  de  Agua  Tapado,-27.2666666666667,-66.65,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=4
4,5,Bajo  de  la  Alumbrera,-27.3297222222222,-66.6088888888889,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=5
5,6,Bajo  de  la  Leona,-48.075,-67.3083333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=6
6,7,Bajo  de  San  Lucas,-27.4,-66.55,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=7
7,8,Bajo  El  Durazno,-27.2833333333333,-66.5666666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=8
8,9,Betito,-26.3,-67.9,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=9
9,10,Campana  Mahuida,-38.25,-70.5833333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=10
10,11,Carrizal,-30.0,-69.1666666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=11
11,12,Cerro  Mercedario,-31.95,-70.05,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=12
12,13,El  Oculto,-24.1333333333333,-66.6,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=13
13,14,El  Salado,-30.9333333333333,-69.6333333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=14
14,15,Filo  Colorado,-27.3833333333333,-66.2166666666667,21a,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=15
15,16,Inca  Viejo,-25.1444444444444,-66.7625,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=16
16,17,La  Voluntad,-39.1833333333333,-70.6333333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=17
17,18,Los  Azules,-31.2416666666667,-70.1766666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=18
18,19,Nevados  de  Famatina,-29.0,-67.75,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=19
19,20,Pancho  Arias,-24.2,-65.8666666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=20
20,21,Paramillos  Norte,-32.4166666666667,-69.0833333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=21
21,22,Paramillos  Sur,-32.4833333333333,-69.1,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=22
22,23,Quebrada  del  Bronce,-37.4325,-70.4666666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=23
23,24,San  Jorge,-32.25,-69.4333333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=24
24,25,Taca  Taca  Alto,-24.5666666666667,-67.7833333333333,21a,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=25
25,26,Taca  Taca  Bajo,-24.5833333333333,-67.7333333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=26
26,27,Yalguaraz,-32.1377777777778,-69.4391666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=27
27,28,Agarak,38.9219444444444,46.1883333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=28
28,29,Ankavan,40.6333333333333,44.5166666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=29
29,30,Dastakert,39.375,46.0227777777778,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=30
30,31,Kadjaran,39.1438888888889,46.1377777777778,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=31
31,32,Shikahoh,39.1,46.4666666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=32
32,33,Teghout,41.1047222222222,44.8566666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=33
33,34,Cadia  Hill/Ridgeway,-33.4666666666667,149.0,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=34
34,35,Cargo,-33.6166666666667,148.85,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=35
35,36,Copper  Hill,-33.05,148.866666666667,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=36
36,37,Endeavour,-32.9166666666667,148.033333333333,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=37
37,38,Frogmore,-34.2738888888889,148.84,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=38
38,39,Mandamah,-33.9666666666667,147.416666666667,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=39
39,40,Marsden,-33.7166666666667,147.533333333333,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=40
40,41,Peak  Hill,-32.75,148.216666666667,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=41
41,42,Yeoval,-32.7666666666667,148.666666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=42
42,43,Andromache  River,-20.57,148.26,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=43
43,44,Chinaman  Creek,-25.235,151.616111111111,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=44
44,45,Coalstoun,-25.6833333333333,151.916666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=45
45,46,Kiwi  Carpet,-24.6683333333333,150.876388888889,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=46
46,47,Limonite  Hill,-23.69,150.63,21a,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=47
47,48,Moonmera,-23.6,150.4,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=48
48,49,Mount  Cannindah,-24.8166666666667,151.366666666667,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=49
49,50,Mt.  Abbot,-20.2,147.95,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=50
50,51,Mt.  Leslie,-20.3419444444444,140.168888888889,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=51
51,52,Mt.  Poole,-29.8394444444444,152.371388888889,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=52
52,53,Mt.  Robin,-20.5786111111111,146.977777777778,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=53
53,54,Mt.  Turner,-18.2536111111111,143.423611111111,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=54
54,55,Struck  Oil,-23.6111111111111,150.457777777778,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=55
55,56,Town  Creek,-20.4247222222222,146.778611111111,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=56
56,57,Whitewash,-24.8075,150.873055555556,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=57
57,58,Yeppoon,-23.0027777777778,150.692777777778,21a,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=58
58,59,Anabama  Hill,-32.7655555555556,140.236944444444,21a,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=59
59,60,Dogwood,-37.5736111111111,148.008611111111,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=60
60,61,Thursdays  Gossan,-37.6113888888889,142.6075,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=61
61,62,Copper  Hills,-21.6575,119.957777777778,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=62
62,63,Coppin  Gap,-20.8888888888889,120.108333333333,21a,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=63
63,64,Kelly,-21.7916666666667,119.872222222222,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=64
64,65,Damirli,40.0166666666667,46.75,21a,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=65
65,66,Garadag,40.6333333333333,45.85,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=66
66,67,Goshgarchai,40.5333333333333,46.15,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=67
67,68,Kedabek,40.5644444444445,45.7913888888889,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=68
68,69,Misdag,39.05,46.05,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=69
69,70,Herzogenhugel,50.2833333333333,5.91666666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=70
70,71,Bom  Jardim,-17.5333333333333,-51.6,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=71
71,72,Chapada,-14.25,-49.3666666666667,20c,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=72
72,73,Estrela,-6.4,-49.6166666666667,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=73
73,74,Assarel,42.5833333333333,23.9833333333333,17,https://mrdata.usgs.gov/to-json.php?db=porcu&id=rec_id&labno=74
