,deposit_id,deposit_name,latitude,longitude,deposit_model,url
0,1,NA,54.22,-8.53,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=1
1,2,NA,17.98,36.38,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=2
2,3,NA,-19.23,122.28,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=3
3,4,NA,-23.2,-65.7,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=4
4,5,NA,35.43,5.29,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=5
5,6,NA,53.29,6.9,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=6
6,7,NA,24.33,72.85,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=7
7,8,NA,68.16,-162.96,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=8
8,9,NA,-34.67,138.91,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=9
9,10,NA,32.71,51.15,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=10
10,11,NA,42.95,-0.22,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=11
11,12,NA,33.59,106.88,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=12
12,13,NA,25.83,75.27,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=13
13,14,NA,24.35,73.73,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=14
14,15,NA,53.65,-7.47,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=15
15,16,NA,44.25,-75.4,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=16
16,17,NA,25.04,74.18,NA,https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=17
