,deposit_id,deposit_name,latitude,longitude,deposit_model,url
0,1,Ain Kahla,34.4877777777778,4.02611111111111,NA,https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=1
1,2,Boukdema/Kef Semmah,36.21,4.89,Fluid inclusions indicate 250200 ºC.,https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=2
2,3,Kherzet Youcef,34.525,4.04388888888889,"In sphalerite, %: 0.091.47 Cd, 0.030.08 Ge; 3,0005,000 ppm Ag.",https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=3
3,4,Mesloula,35.8713888888889,7.83416666666667,Produced 500 Kt Pb+Zn. Salt dome related mineralization. Three generations of galena. 0 m cover.,https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=4
4,5,Aguilar,-23.2036111111111,-65.7169444444445,"25 Mt production + 5 Mt reserve. Ore-hosting quartzite interpreted by D. Sangster  (personal communication of 1988, in Sureda and Martin, 1990) as recrystallized exhalative chert. SEDEX ore overprinted by contact metamorphism related to the Cretaceous Aguilar granite (Gemmell and others, 1992).",https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=5
5,6,Esperanza,-23.1294444444444,-65.7161111111111,Tonnage estimated.,https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=6
6,7,Gualilan,-30.7361111111111,-68.9577777777778,Mined for gold. Exoskarn.,https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=7
7,8,Yanzi,-31.405,-67.3277777777778,Tonnage: 14 Kt production + 42 Kt resource. Exoskarn.,https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=8
8,9,Abra,-24.6444444444444,118.586111111111,Orebodies occur beneath 200500 m cover of Mesoproterozoic rocks.  |Pb-Ag stratabound lode (93 Mt at 4% Pb and 10 g/t Ag; 2.5% Pb cutoff) underlain by cone-shaped Cu-Au stringer zone (14 Mt at 0.6% Cu and 0.5 g/t Au; 0.4% Cu cutoff). ?3.6% Ba in resource. Pre-feasibility studies in 2008.,https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=9
9,10,Admiral Bay,-19.2269444444444,122.28,"Fluid inclusions indicate 15666 ºC.  Earlier paragenesis of hematite, jasper, magnetite, and siderite is considered to be not related to epigenetic Pb-Zn MVT mineralization. >1000 m cover.",https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=10
10,11,Ban Ban,-25.8063888888889,151.963055555556,"Stratabound skarn. Tonnage and grades from Seccombe and others (2005), 0.08% Pb and 0.07% Cu in ore.  Exoskarn.",https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=11
11,12,Blendvale,-18.32,125.778055555556,142 g/t Cd in ore. Fluid inclusions indicate 11055 ºC.  >100 m cover.,https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=12
12,13,Broken Hill,-31.9666666666667,141.466666666667,"1,000 to 37,000 ppb Hg content in different orebodies.",https://mrdata.usgs.gov/to-json.php?db=sedznpb&id=rec_id&labno=13
