,Deposit group,Description,Deposit types,Genetically related features ,Deposit environment,label
0,Alkali-calcic,"The Alkali-calcic deposit group includes deposits such as Albitite-hosted uranium, Albitite-type metasomatic U, Low Iron alkali-calcic. The deposit environment is typically Regional metasomatic. Genetically related features of typical Alkali-calcic deposits include: Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies. ","Albitite-hosted uranium, Albitite-type metasomatic U, Low Iron alkali-calcic","Continental arc or rift, mafic to felsic or alkalic magmatism, sedimentary basins, dilatant faults, magmatic and basinal or lacustrine brines, iron alkali calcic metasomatism, high amplitude magnetic, gravity, and MT anomalies",Regional metasomatic,Alkali-calcic
1,Anorthosite conduit,"The Anorthosite conduit deposit group includes deposits such as Anorthosite conduit nickel- copper-PGE, Anorthosite-granite- troctolite Ni-Cu-PGE. The deposit environment is typically Magmatic. Genetically related features of typical Anorthosite conduit deposits include: Convergent margin, late extension, intermediate (± granitic) dikes, sills, chonoliths. ","Anorthosite conduit nickel- copper-PGE, Anorthosite-granite- troctolite Ni-Cu-PGE","Convergent margin, late extension, intermediate (± granitic) dikes, sills, chonoliths",Magmatic,Anorthosite conduit
2,Anorthosite massif,"The Anorthosite massif deposit group includes deposits such as Anorthosite mas- sif titanium, Anorthosite pluton. The deposit environment is typically Magmatic. Genetically related features of typical Anorthosite massif deposits include: Convergent margin, late extension, intermediate plutonic center. ","Anorthosite mas- sif titanium, Anorthosite pluton","Convergent margin, late extension, intermediate plutonic center",Magmatic,Anorthosite massif
3,Apatite intrusion,"The Apatite intrusion deposit group includes deposits such as Apatite intrusion REE, Apatite vein. The deposit environment is typically Magmatic. Genetically related features of typical Apatite intrusion deposits include: Alkalic dike complex. ","Apatite intrusion REE, Apatite vein",Alkalic dike complex,Magmatic,Apatite intrusion
4,Apatite-nepheline- titanite intrusion,"The Apatite-nepheline- titanite intrusion deposit group includes deposits such as Alkaline massif, nepheline-syenite- foyaite complex, Apatite- nepheline- titanite intrusion. The deposit environment is typically Magmatic. Genetically related features of typical Apatite-nepheline- titanite intrusion deposits include: Zoned alkalic plutonic center. ","Alkaline massif, nepheline-syenite- foyaite complex, Apatite- nepheline- titanite intrusion",Zoned alkalic plutonic center,Magmatic,Apatite-nepheline- titanite intrusion
5,Black shale,"The Black shale deposit group includes deposits such as Black shale gold, Black shale nickel ± Mo- PGE, Black shale uranium, Black shale va- nadium ± Mo ± Ni, Metalliferous black shale, Metalliferous black shale, stone coal, carbonaceous marl. The deposit environment is typically Basin chemical. Genetically related features of typical Black shale deposits include: Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater. ","Black shale gold, Black shale nickel ± Mo- PGE, Black shale uranium, Black shale va- nadium ± Mo ± Ni, Metalliferous black shale, Metalliferous black shale, stone coal, carbonaceous marl","Marine chemoclines, anoxic or euxinic lows, bioproductivity, seawater",Basin chemical,Black shale
6,Breccia pipe,"The Breccia pipe deposit group includes deposits such as Breccia pipe REE, Breccia pipe copper, Breccia pipe gold, Breccia pipe molybdenum, Igneous-hydrothermal breccia, Intrusion-related gold. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Breccia pipe deposits include: Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, Occurs in more than one system type. ","Breccia pipe REE, Breccia pipe copper, Breccia pipe gold, Breccia pipe molybdenum, Igneous-hydrothermal breccia, Intrusion-related gold","Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental back arc or hinterland, regional felsic magmatism of ilmenite to magnetite series, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, Occurs in more than one system type",Magmatic hydrothermal,Breccia pipe
7,Brine,"The Brine deposit group includes deposits such as Lacustrine brine lithium, Lacustrine brine potash, Marine brine potash (±Mg, Li, and so on). The deposit environment is typically Basin evaporative. Genetically related features of typical Brine deposits include: Closed lacustrine drainage basin, arid climate, salt flats, Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites. ","Lacustrine brine lithium, Lacustrine brine potash, Marine brine potash (±Mg, Li, and so on)","Closed lacustrine drainage basin, arid climate, salt flats, Silled marine basin, arid climate, pinnacle reefs, evaporites, sabkha dolomites",Basin evaporative,Brine
8,Carbonatite,"The Carbonatite deposit group includes deposits such as Carbonatite REE, Carbonatite niobium. The deposit environment is typically Magmatic. Genetically related features of typical Carbonatite deposits include: SCLM partial melt, alkalic- peralkaline magmatic center, carbonatites. ","Carbonatite REE, Carbonatite niobium","SCLM partial melt, alkalic- peralkaline magmatic center, carbonatites",Magmatic,Carbonatite
9,Carlin-type,"The Carlin-type deposit group includes deposits such as Carlin-type gold, Sediment-hosted disseminated gold, sediment-hosted micron gold. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Carlin-type deposits include: Slab rollback, arc migration, magmatic volatiles, extensional faults, reduced slope facies, meteoric water, CO2, H2S and hydrolytic metasomatism, jasperoids. ","Carlin-type gold, Sediment-hosted disseminated gold, sediment-hosted micron gold","Slab rollback, arc migration, magmatic volatiles, extensional faults, reduced slope facies, meteoric water, CO2, H2S and hydrolytic metasomatism, jasperoids",Magmatic hydrothermal,Carlin-type
10,Clay,"The Clay deposit group includes deposits such as Gob, Ion adsorption REE, Lacustrine clay lithium, Residual clay, Secondary clay, Underclay, over- clay. The deposit environment is typically Basin evaporative, Supergene. Genetically related features of typical Clay deposits include: Closed lacustrine drainage basin, arid climate, salt flats, ash and clay layers, Variable climate, unsaturated zone, Al- or REE-bearing granitic, peralkaline, or carbonatite rocks, water table, Variable climate, unsaturated zone, Al- or REE-bearing shales adjacent to coal seams, water table, Variable climate, unsaturated zone, Al-bearing rock types, water table. ","Gob, Ion adsorption REE, Lacustrine clay lithium, Residual clay, Secondary clay, Underclay, over- clay","Closed lacustrine drainage basin, arid climate, salt flats, ash and clay layers, Variable climate, unsaturated zone, Al- or REE-bearing granitic, peralkaline, or carbonatite rocks, water table, Variable climate, unsaturated zone, Al- or REE-bearing shales adjacent to coal seams, water table, Variable climate, unsaturated zone, Al-bearing rock types, water table","Basin evaporative, Supergene",Clay
11,Collapse breccia pipe,"The Collapse breccia pipe deposit group includes deposits such as Collapse breccia pipe uranium. The deposit environment is typically Basin hydrothermal. Genetically related features of typical Collapse breccia pipe deposits include: Collapse breccia, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism. ",Collapse breccia pipe uranium,"Collapse breccia, epicontinental basin fill, arid climate, evaporites, basin brine, extensional faults, alkali and magnesium metasomatism",Basin hydrothermal,Collapse breccia pipe
12,Distal-disseminated,"The Distal-disseminated deposit group includes deposits such as Carlin-like, Carlin-style, Distal- disseminated silver-gold. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Distal-disseminated deposits include: Occurs in more than one system type. ","Carlin-like, Carlin-style, Distal- disseminated silver-gold",Occurs in more than one system type,Magmatic hydrothermal,Distal-disseminated
13,Epithermal,"The Epithermal deposit group includes deposits such as Adularia-sericite gold- silver; hot-spring gold-silver; epizonal intrusion-related gold, Adularia-sericite silver- gold, Alkalic epithermal gold ± Ag, Au-Ag-Te veins, Epithermal beryllium, Epithermal mercury, Epithermal uranium, High-sulfidation (HS) epithermal silver-gold ± Cu, Hot spring Hg, Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn, Low-sulfidation (LS) epither- mal gold-silver, Quartz-alunite gold, enargite-gold, Volcanogenic Be, Volcanogenic U, volcanic-related U. The deposit environment is typically Magmatic hydrothermal. Genetically related features of typical Epithermal deposits include: Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, meteoric water, Occurs in more than one system type. ","Adularia-sericite gold- silver; hot-spring gold-silver; epizonal intrusion-related gold, Adularia-sericite silver- gold, Alkalic epithermal gold ± Ag, Au-Ag-Te veins, Epithermal beryllium, Epithermal mercury, Epithermal uranium, High-sulfidation (HS) epithermal silver-gold ± Cu, Hot spring Hg, Intermediate- sulfidation (IS) epithermal silver-gold ± Zn, Pb, Cu, Sn, Mn, Low-sulfidation (LS) epither- mal gold-silver, Quartz-alunite gold, enargite-gold, Volcanogenic Be, Volcanogenic U, volcanic-related U","Arc or rift, alkaline volcano- plutonic center, magmatic fluid, alkali and hydrolytic metasomatism, Continental rift, hydrous bimodal magmatism, A-type volcano- plutonic center, magmatic fluid, meteoric water, Occurs in more than one system type",Magmatic hydrothermal,Epithermal
