,Deposit type,Description,Synonym,Deposit environment,Deposit group,Genetically related features ,label
0,Residual placer tin,"Residual placer tin deposits are also known as Lag tin. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Residual placer tin deposits include: Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization. ",Lag tin,Erosional,Placer,"Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization",Residual placer tin
1,Residual placer lead,"Residual placer lead deposits are also known as Lag lead. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Residual placer lead deposits include: Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization. ",Lag lead,Erosional,Placer,"Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization",Residual placer lead
2,Fluvial placer gold,"Fluvial placer gold deposits are also known as Alluvial gold. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer gold deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. ",Alluvial gold,Erosional,Placer,"Exhumation, topographic relief, drainage network, preexisting mineralization",Fluvial placer gold
3,Fluvial placer PGE,"Fluvial placer PGE deposits are also known as Alluvial PGE. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer PGE deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. ",Alluvial PGE,Erosional,Placer,"Exhumation, topographic relief, drainage network, preexisting mineralization",Fluvial placer PGE
4,Fluvial placer tin,"Fluvial placer tin deposits are also known as Alluvial tin. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer tin deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. ",Alluvial tin,Erosional,Placer,"Exhumation, topographic relief, drainage network, preexisting mineralization",Fluvial placer tin
5,Fluvial placer niobium- tantalum,"Fluvial placer niobium- tantalum deposits are also known as Alluvial niobium- tantalum. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer niobium- tantalum deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. ",Alluvial niobium- tantalum,Erosional,Placer,"Exhumation, topographic relief, drainage network, preexisting mineralization",Fluvial placer niobium- tantalum
6,Fluvial placer tungsten,"Fluvial placer tungsten deposits are also known as Alluvial tungsten. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer tungsten deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. ",Alluvial tungsten,Erosional,Placer,"Exhumation, topographic relief, drainage network, preexisting mineralization",Fluvial placer tungsten
7,Fluvial placer REE,"Fluvial placer REE deposits are also known as Alluvial REE. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer REE deposits include: Exhumation, topographic relief, drainage network, specific rock types. ",Alluvial REE,Erosional,Placer,"Exhumation, topographic relief, drainage network, specific rock types",Fluvial placer REE
8,Fluvial placer diamond,"Fluvial placer diamond deposits are also known as Alluvial diamond. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer diamond deposits include: Exhumation, topographic relief, drainage network, kimberlite pipe. ",Alluvial diamond,Erosional,Placer,"Exhumation, topographic relief, drainage network, kimberlite pipe",Fluvial placer diamond
9,Fluvial placer gemstones,"Fluvial placer gemstones deposits are also known as Alluvial gemstones. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer gemstones deposits include: Exhumation, topographic relief, drainage network, specific rock type. ",Alluvial gemstones,Erosional,Placer,"Exhumation, topographic relief, drainage network, specific rock type",Fluvial placer gemstones
10,Fluvial placer garnet,"Fluvial placer garnet deposits are also known as Alluvial garnet. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer garnet deposits include: Exhumation, topographic relief, drainage network, specific rock type. ",Alluvial garnet,Erosional,Placer,"Exhumation, topographic relief, drainage network, specific rock type",Fluvial placer garnet
11,Heavy mineral sands,"Heavy mineral sands deposits are also known as Mineral sands. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Heavy mineral sands deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types. ",Mineral sands,Erosional,Placer,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types",Heavy mineral sands
12,Shoreline placer gold,"Shoreline placer gold deposits are also known as Beach placer gold. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Shoreline placer gold deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, pre- existing mineralization. ",Beach placer gold,Erosional,Placer,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, pre- existing mineralization",Shoreline placer gold
13,Paleoplacer heavy mineral sands,"Paleoplacer heavy mineral sands deposits are also known as Lithified mineral sands; indurated mineral sands. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Paleoplacer heavy mineral sands deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types. ",Lithified mineral sands; indurated mineral sands,Erosional,Placer,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types",Paleoplacer heavy mineral sands
14,Paleoplacer tin,"Paleoplacer tin deposits belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Paleoplacer tin deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types. ",,Erosional,Placer,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, specific rock types",Paleoplacer tin
15,Paleoplacer gold ± uranium,"Paleoplacer gold ± uranium deposits are also known as Quartz pebble conglomerate Au-U. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Paleoplacer gold ± uranium deposits include: Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, preexisting mineralization. ",Quartz pebble conglomerate Au-U,Erosional,Placer,"Exhumation, topographic relief, drainage network, delta, shoreline, barrier island, preexisting mineralization",Paleoplacer gold ± uranium
16,Bauxite,"Bauxite deposits are also known as Lateritic bauxite. They belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Bauxite deposits include: Stable area with low relief, tropical climate, Al-bearing rock types, unsaturated zone, water table. ",Lateritic bauxite,Supergene,Laterite,"Stable area with low relief, tropical climate, Al-bearing rock types, unsaturated zone, water table",Bauxite
17,Karst bauxite,"Karst bauxite deposits are also known as Carbonate bauxite. They belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Karst bauxite deposits include: Stable area with low relief, tropical climate, Al-bearing rock types above carbonate rocks, unsaturated zone, water table. ",Carbonate bauxite,Supergene,Laterite,"Stable area with low relief, tropical climate, Al-bearing rock types above carbonate rocks, unsaturated zone, water table",Karst bauxite
18,Laterite nickel,"Laterite nickel deposits are also known as Nickel-cobalt laterite: Lateritic nickel. They belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Laterite nickel deposits include: Stable area with low relief, tropical climate, ultramafic rocks, unsaturated zone, water table. ",Nickel-cobalt laterite: Lateritic nickel,Supergene,Laterite,"Stable area with low relief, tropical climate, ultramafic rocks, unsaturated zone, water table",Laterite nickel
19,Carbonatite laterite REE,"Carbonatite laterite REE deposits belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Carbonatite laterite REE deposits include: Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table. ",,Supergene,Laterite,"Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table",Carbonatite laterite REE
20,Laterite magnesite,"Laterite magnesite deposits belong to the general deposit group of Laterite deposits. The deposit environment is typically Supergene. Genetically related features of typical Laterite magnesite deposits include: Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table. ",,Supergene,Laterite,"Stable area with low relief, tropical climate, carbonatites, unsaturated zone, water table",Laterite magnesite
