,deposit_id,deposit_name,latitude,longitude,deposit_model,url
0,1,Rock Creek Butte occurrence,44.429,-118.037,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=1
1,2,"Buttercup Mines, Inc.",44.5231,-117.7051,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=2
2,3,McClellan Creek occurrence,44.5273,-117.7938,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=3
3,4,"Asbestos 2"""" occurrence",44.5581,-117.9093,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=4
4,5,"Asbestos 1"""" occurrence",44.5598,-117.91,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=5
5,6,Upper Pine Creek occurrence,44.5598,-117.9181,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=6
6,7,Pine Creek asbestos deposits,44.561,-117.9172,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=7
7,8,Freeway talc occurrence,44.6547,-117.5783,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=8
8,9,Alder Creek asbestos occurrence,44.669,-117.613,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=9
9,10,Upper Applegate 2 talc occurrence,42.7537,-123.0385,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=10
10,11,Bear Valley occurrences,44.204,-118.958,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=11
11,12,Spare Time claims,44.3695,-118.9136,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=12
12,13,Ward chromite mine,44.382,-118.8958,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=13
13,14,Mount Vernon deposit,44.4464,-119.0588,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=14
14,15,Big Butte Creek asbestos (Stithem prospect),44.606,-118.654,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=15
15,16,Elliott Creek Ridge area,42.0138,-123.0191,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=16
16,17,Raspberry Creek tremolite,42.612,-123.047,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=17
17,18,Liberty Asbestos,42.7444,-123.1169,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=18
18,19,Foster Asbestos (Bear placer),42.2188,-123.7124,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=19
19,20,Powell Creek soapstone,42.26,-123.318,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=20
20,21,L.E.J. Asbestos,42.3615,-123.4176,NA,https://mrdata.usgs.gov/to-json.php?db=asbestos&id=rec_id&labno=21
