,deposit_id,deposit_name,latitude,longitude,deposit_model,url
0,1,Kotal-i-Sabzak,34.6544,63.1493,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=1
1,2,Akesai,44.65,82.83,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=2
2,3,Akesala,44.65,82.83,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=3
3,4,Keguqing,43.8,83.22,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=4
4,5,Abanar 1,30.775,50.9333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=5
5,6,Abanar 2,30.7667,50.935,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=6
6,7,Abchah,30.7917,50.7333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=7
7,8,Abdollah Abad-e-Pariyan,35.7667,53.8333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=8
8,9,Abkhory,35.8167,53.9167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=9
9,10,Abmorad,30.4667,56.727,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=10
10,11,Abyak,36.0833,50.6167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=11
11,12,Aghdarband,35.85,60.9333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=12
12,13,Aghkand-seidkand,36.5833,48.2167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=13
13,14,Ahar,38.25,46.5,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=14
14,15,Aligi,32.2833,49.9833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=15
15,16,Aman Kandy,36.85,46.8,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=16
16,17,Aman Kandy-Badamlu,36.86667,46.8,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=17
17,18,Anjerto,32.4333,49.95,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=18
18,19,Bafgh 1,31.7683,55.4367,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=19
19,20,Bahmanyary,30.8167,50.8667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=20
20,21,Band-e-Owbikh 1,32.0667,54.6333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=21
21,22,Band-e-Owbikh 2,32.0417,54.65,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=22
22,23,Bangestan,30.95,50.2,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=23
23,24,Bangestan 2,30.8333,50.25,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=24
24,25,Baraghun,30.3667,51.1333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=25
25,26,Behbehan area,30.5823,50.2344,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=26
26,27,Bibi Shahrbanou,35.6361,51.5614,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=27
27,28,Chadormalu,32.2973,55.5187,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=28
28,29,Chahgaz,32.1333,55.4833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=29
29,30,Chahkhashkhash,29.05,55.4167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=30
30,31,Chaligarou,30.725,50.937,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=31
31,32,Chalmish,35.885,53.0167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=32
32,33,Chapoghlu,36.1833,48.9,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=33
33,34,Chashin,36.0833,49.05,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=34
34,35,Chenareh,32.8333,48.8,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=35
35,36,Cheshmeh Bidzard,29.3833,51.9167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=36
36,37,Cheshmeh Faryadun,30.7667,53.3833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=37
37,38,Cheshmeh mohammad,33.7167,56.2667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=38
38,39,Cheshmeh shah,33.65,56.2833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=39
39,40,Cheshmehe-Abchenar,30.7,50.8833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=40
40,41,Cheshmeh-e-Veysali,30.7333,50.8333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=41
41,42,Cheshmehfiruzi,31.875,55.61,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=42
42,43,Cheshmehgaz,30.4333,56.7333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=43
43,44,Choghart,31.7002,55.4699,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=44
44,45,Dahoieh,30.7833,56.7167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=45
45,46,Dalir,36.3333,51.0833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=46
46,47,Damaqeh-e-Jonobi-e-Taqdis-e-Bangestan,30.8167,50.25,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=47
47,48,Darbid,32.0833,54.5667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=48
48,49,Dareh-e- Bastangi Ashbaki,30.675,50.95,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=49
49,50,Darreh-e-Baba Abdollah,30.4333,51.4417,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=50
50,51,Darreh-e-Goldredin,36.0667,50.8833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=51
51,52,Darreh-e-Jabun,35.7,52.2833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=52
52,53,Darreh-e-Lir,30.6083,50.7333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=53
53,54,Darreh-e-Sarbandan,35.6833,52.3667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=54
54,55,Dasht-e-Arjan,29.6333,51.8667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=55
55,56,Deh Namakeh,36.4333,54.0833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=56
56,57,Deh Zoka,30.4083,56.775,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=57
57,58,Dehbaraftab,30.75,50.8167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=58
58,59,Dehdasht,30.8,50.6833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=59
59,60,Dehloran,32.7167,47.3333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=60
60,61,Dehloran,32.7167,47.3333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=61
61,62,Dehmolla,36.3569,54.6833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=62
62,63,Dereshk,30.7,51.3833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=63
63,64,Dogonbadan,30.5761,51.2328,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=64
64,65,Dourak,32.25,50.0167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=65
65,66,Eimareh,32.5167,49.8583,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=66
66,67,Esfordi,31.7901,55.6365,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=67
67,68,Eshger,30.5167,51.2583,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=68
68,69,Faraghun,27.9167,56.45,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=69
69,70,Farrashband,28.9833,52.05,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=70
70,71,Firouz Abad Keykuh,36.2917,51.375,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=71
71,72,Firuzabad,36.3167,51.3167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=72
72,73,Firuzkuh,35.9,52.8,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=73
73,74,Firozkuh,35.8986,52.8011,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=74
74,75,Gachsaran,30.199,50.7844,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=75
75,76,Gachy,37.8167,44.7333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=76
76,77,Gadoukdogol,35.85,52.9167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=77
77,78,Gaduk,35.8667,52.9333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=78
78,79,Gagestan,30.4833,51.2833,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=79
79,80,Gajelar,38.93333,45.325,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=80
80,81,Ganjabad,32.375,52.0667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=81
81,82,Gara-aghaj,37.7667,44.8083,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=82
82,83,Garehnazi 2,38.875,45.36667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=83
83,84,Garzinehkhil,35.9,52.9667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=84
84,85,Gasak,30.6472,57.2583,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=85
85,86,Gazak,30.6917,57.25,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=86
86,87,Gazestan,31.6569,55.9582,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=87
87,88,Ghafasabad,36.15,48.9333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=88
88,89,Ghaleh-boni,30.7667,50.884,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=89
89,90,Ghalghanlu,36.8833,46.375,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=90
90,91,Ghanli,36.25,48.8667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=91
91,92,Gharb-e-Hamyard,35.7,53.8,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=92
92,93,Ghareh aghaj,36.1333,49.05,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=93
93,94,Gharieh-Davan,29.775,51.625,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=94
94,95,Gholghanlu,36.9,46.76667,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=95
95,96,Golkhandeh,32.5583,49.8333,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=96
96,97,Golshin,38.0,44.75,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=97
97,98,Hajiabad,29.55,51.7167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=98
98,99,Hamirad,35.7167,53.8,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=99
99,100,Hasko,35.9667,53.4167,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=100
100,101,Hassu Kuchak,39.3318,44.8347,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=101
101,102,Hiv,36.0667,50.65,NA,https://mrdata.usgs.gov/to-json.php?db=ofr20151121&id=gid&labno=102
