,paragraph,score
0,"14] 10.70
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
 MW} WIA] DTN] Go] Gol} oo] &
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
  
 
 Terry and Gibson (1998) suggested that the mineralization in the western-most holes in the Lost Lake drill area (holes 7 through 10) is situated at or near an andesite porphyry flowfelsic tuff breccia contact. In the eastern holes (holes 5, 6 and",0.0013989704893901944
1,"who drove 200 feet of drift from an adit and sunk a 100 foot ventilation shaft sometime before 1928. By 1930, the Maid of Texas vein had been discovered about 300 feet southeast of te Maid of Mexico vein and returned values ranging up to 0.92 opt gold (Grybeck and Berg, 1998, Roppel, 2001). There are no known underground workings on the Maid of Texas. Leo Haider along with partners Earl Ohmer and Tony Steele erected a 10 stamp mill on the property and produced small amounts of ore from the Maid of Mexico in 1931, 1933 and intermittently from 1934 to 1939. The Maid of Mexico vein was explored by more than 1",0.001701531931757927
2,Williams (1954) noted that the Alaska Territorial Department of Mines had seven confidential maps of the underground workings dating from 1933 to 1935. These maps indicated the presence of 130 feet of crosscut from the portal of the mine and 260 feet of drifting on the vein along with also several raises and winzes. Williams (1953) reported that in 1953 the property was under lease by Laurence Heiner and indicated that the workings were accessible but the winze was full of water at that time. The Maid of Mexico property was active in 1979 and the owners had cleaned out the drifts in anticipation of resuming production. Grybeck and Berg (1998) reported that little additional work was conducted on the property. Buddington (1923) reported total production,0.00248445151373744
3,"Leo Haider along with partners Earl Ohmer and Tony Steele erected a 10 stamp mill on the property and produced small amounts of ore from the Maid of Mexico in 1931, 1933 and intermittently from 1934 to 1939. The Maid of Mexico vein was explored by more than 1,000 feet of underground workings. Williams (1954) noted that the Alaska Territorial Department of Mines had seven confidential maps of the underground workings dating from 1933 to 1935. These maps indicated the presence of 130 feet of crosscut from the portal of the mine and 260 feet of drifting on the vein along with also several raises and winzes. Williams (1953) reported that in 1953 the property was under lease by",0.002759802620857954
4,"at the Hattie prospect on the western side of the island (Figure 2). Additional gold discoveries were soon made at the Helen S, Maid of Mexico and Maid of Texas prospects to the north and northeast of the Hattie mine. In addition to gold, all of these vein occurrences contained variable amounts of Ag, Zn, Pb and Cu and were hosted in metavolcanic rocks (Grybeck and Berg, 1998).
 
 A 20 stamp mill was shipped to the Hattie prospect in 1902 but was never constructed at the property because of disappointing underground results (Roppel, 2001). Wright and Wright, (1908) reported that there were about 500 feet of underground workings accessed via an adit at the Hattie prospect. Roehm (1945) noted",0.008019162341952324
5,"Significant drill assays from the 11-hole Amselco 1986 drilling program are presented in Table 3. While drilling data available to the author are incomplete, the data that are available indicate similar elemental relationships as observed in the Brushy Creek prospect. Lost Lake Zn/Pd ratios vary widely from <5:1 to over 2,500:1 with the higher Zn/Pb ratios occurring in areas where lead values are extremely low. As lead values increase in an absolute sense, Zn/Pb ratios fall to levels generally less than 10:1. Silver values appear to be independent of lead and zinc values suggesting silver is contained in a separate mineralogical species. Copper and gold values do not appear to be correlative with lead, zinc or silver.
 
 Table 3: Significant 19",0.010760325007140636
6,"Roehm (1945) noted that the property consisted working levels at 63 and 134 feet that were developed through a shaft. The property was inactive before World War II but has been repeatedly visited by prospectors and industry geologists over the last several decades. Details of this more recent work are not available.
 
 In May 1902 Charles Smith discovered gold and staked the Helen S claim about a half mile northwest of Harvey’s Lake (Figure 2, Roppel, 2001). This property s located on claims not currently owned or controlled by Olympic Resources or Bravo Venture Group. Olympic Mining erected the 20 stamp mill originally ordered for the Hattie prospect on the Helen S and began operations in 1904. The property was patented in 1904 and worked intermittently until at least 1915.",0.012231151573359966
7,"The Brushy Creek gabbro may be post-metamorphic and could be related to similar melagabbros mapped on the northeast coast of Zarembo Island (Brew and others, 1984).
 
 Woewodski Island is cut by a series of structures including northeast, northwest and north-south structural zones that can be seen in outcrop (northeast trending Brushy Creek scarp) as well as in air photos and _ satellite images (north-south and northwest linears, Olympic Resources, written comm., 2002). In addition, Olympic Resources has recently identified a series of circular features on the island that may be related to volcanic centers and/or younger intrusive bodies. Exposures of altered volcanic rocks on the north-facing scarp of Brushy Creek suggest this area is not significantly folded however the",0.015626471489667892
8,"22 0.86 87.50 0.61 And 166-190 24 3.25 0.67 48.83 0.41 And 175-182 7 4.66 0.82 64.53 0.59
 
  
 
 . Mesothermal(?) Au-As-Sb+Bi mineralization: Gold mineralization is widespread at Woewodski and is associated with metamorphic and intrusive host rocks. Examples include the Helen S, Maid of Mexico, Maid of Texas, Hattie and J36 prospects. Gold is associated with anomalous arsenic, antimony and to a lesser degree, bismuth, copper, zinc and lead. Detection",0.020442837849259377
9,"Quartz veins commonly contain or are associated with carbonate veins. Host rocks vary from black argillite and basaltic volcanics to sericite altered granodiorite. Sampling conducted by Olympic Resources returned grab rock sample values up to 10.15 gpt gold from Harveys Creek prospect and 6.3 gpt gold from intrusive float north of the Brushy Creek prospect. McDonald and others (1998) reported gold values in grab rock samples up to 11.2 gpt gold from the Helen S prospect, 36.9 gpt gold from the Maid of Mexico and 2.8 gpt gold from the Hattie prospect. All of these prospects contain anomalous As, Sb and base metals with sporadic low-level Bi and Te anomalies. Disseminated arsenopyrite is widespread on the island",0.028477393090724945
10,"Although individual volcanic bedding cannot be traced for more than 25-50 meters along strike due to vegetation and soil cover, where exposed volcanic stratigraphy consistently strikes east-west and dips shallowly to the south. Textures visible in outcrop include poly-phase hydrothermal breccia wherein sulfide-bearing clasts are surrounded by a sulfide-bearing matrix suggesting multiple phases of sulfidation during exhalative deposition. Airborne geophysical data confirm that the Brushy Creek prospect is situated in the middle of a 10 kilometer long conductive zone stretching from Mitkof Island on the east to Lung Island on the west (Figure 5). Drill hole 4 is situated within a moderately conductive high on the south side of Brushy Creek while a considerably larger and more highly conductive zone",0.035041872411966324
11,"The Maid of Mexico property was active in 1979 and the owners had cleaned out the drifts in anticipation of resuming production. Grybeck and Berg (1998) reported that little additional work was conducted on the property. Buddington (1923) reported total production of 100 ounces of gold and silver from the Maid of Mexico. Total production from the work conducted in the 1930’s is unknown.
 
 Little is published about the Harvey Creek property, a small quartz gold vein prospect on the trail between Harveys Lake and the coast (Figure 2). Roppel (2201) indicates that Leo Haider produced small amounts of gold from Harveys Creek vein using an arrastra mill constructed in the late 1920’s. Grybeck and Berg (1998) indicate that the property",0.03897994011640549
12,"The mineralization consists of fine to medium-grained pale brown sphalerite with subordinate galena. Sulfides locally display finely banded textures and where pyrite is present it is coarser grained than adjacent sulfide minerals. Massive sulfide is exposed in two trenches where it has a true thickness of 2.2 meters grading 0.17 gpt gold, 162.5 gpt silver, 169 ppm copper, 1.5% lead, and 6.85% zinc.
 
 Amselco’s 1986 drilling at Lost Lake covered an area measuring 500 feet north-south by 1,900 feet east-west with all but one angle hole drilled at azimuths ranging from 335° to 360°",0.05282006412744522
13,"net

 
 13
 
 The Lost Lake prospect occurs in a sequence of east-northeast striking andesite flows and breccias mapped by Karl and others (1999) as Late Triassic in age. Mineralization is associated with intermediate to felsic tuffs and tuff breccias and is enveloped by clay-silica alteration (Terry and Gibson, 1998). Carbonaceous sediments have been identified from higher in the stratigraphic sequence in several drill holes completed by Amselco. The mineralization consists of fine to medium-grained pale brown sphalerite with subordinate galena. Sulfides locally display finely banded textures and where pyrite is present it is coarser grained than adjacent sulfide minerals. Massive sulfide is exposed in two trenches where it has",0.08760726451873779
14,"Rocks originally believed to be felsic volcanic rocks at both localities are now believed to be altered basaltic rocks. Similar lead isotope and rare earth element patterns suggest the VMS occurrences at Woewodski Island are time-stratigraphic equivalents of those at Greens Creek.
 
 Core drilling conducted by Olympic Resources in the Brushy Creek area in 2002 contains metasediments, metabasalts and extensive thicknesses of sericite —sulfide altered volcanic rocks. Pre-mineral volcanic breccias and post-mineral tectonic breccias have been observed in outcrops and drill core. Triassic VMS-bearing volcanic and sedimentary rocks in the Brushy Creek area are bounded to the north by hornblende granodiorite to diorite believed to be of mid",0.10039512068033218
15,"Zinc to lead ratios are relatively high (~10:1) in areas with low-grade disseminated and semi-massive mineralization while zinc to lead ratios are considerably lower (<5:1) in areas where massive sulfide mineralization is best developed. Silver to gold ratios are highly variable and range from 5.1 to 684. Silver values appear to be closely linked to zinc and lead values but gold is less clearly associated with elevated base metal values. Drill data from hole 4 was subjected to factor analysis and indicates the presence of two non-rock forming factor groups. Factor group 1 contains Au, Ag, Cd, Fe, Pb, S and Zn and is clearly related to VMS mineralization. Cu and Sb are very weak members of this group and could be indicating the present of tetrahedrite or some other Cu",0.1168782189488411
