,Unnamed: 0,Deposit type,Description
0,0,Residual placer tin,"Residual placer tin deposits are also known as Lag tin. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Residual placer tin deposits include: Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization.  Residual placer tin deposits, or Lag tin deposits, are distinct due to their formation through prolonged chemical weathering and physical erosion, resulting in the in situ concentration of resistate minerals like cassiterite (SnO2). These deposits typically form in tropical and subtropical environments where erosional processes are prominent, and are generally associated with granitic bedrock or regions with preexisting tin mineralization. The host rocks are often weathered granite or its derivatives; however, they can also form over pegmatites and greisens, where cassiterite was originally deposited. The ore types predominantly include cassiterite, occasionally accompanied by accessory minerals such as wolframite or zircon. Although the grade of these deposits can vary, they often present lower tonnage compared to other placer deposits due to their residual nature. Physiographically, they occur in areas known for thick, lateritic soil profiles. The mineralization ages span a wide range but are frequently linked to recent geological periods where intense tropical weathering is ongoing. Orebodies are typically sheet-like and stretch parallel to the topographic surface, concentrated in the soil or weathered mantle. Alteration processes primarily involve kaolinization and limonitization, resulting from weathering effects. Ore controls are heavily reliant on the geochemistry of the weathering profile and the presence of cassiterite-rich bedrock. Structural controls may include gentle folding or faulting that enhances mineral concentration via weathering. Common tectonic settings for these deposits are stable cratonic regions or ancient orogenic belts that facilitate prolonged stable conditions required for intense weathering. This residual form differentiates these deposits from alluvial placers, which are transported and re-deposited by water, as well as from primary tin deposits, where there is minimal modification from weathering and erosion processes."
1,1,Residual placer lead,"Residual placer lead deposits are also known as Lag lead. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Residual placer lead deposits include: Chemical weathering, erosion of soft material, and concentration of resistate minerals in situ, preexisting mineralization.  Residual placer lead deposits, also known as lag lead, are a subset of placer deposits characterized by the in situ concentration of resistate minerals following the chemical weathering and erosion of softer surrounding material. These deposits primarily form in environments where pre-existing lead-bearing mineralization has undergone intense weathering and mechanical erosion, leaving behind heavy and resistant minerals like galena. Unlike typical alluvial placer deposits which are relocated by water action, residual placers remain near their source, thereby maintaining a close genetic relationship with the bedrock mineralization. The host rock types are often residual soils or regolith developed over igneous or metamorphic terrains that previously contained significant lead mineralization. Commodity types primarily include lead, with galena being the predominant ore mineral, often accompanied by secondary minerals such as cerussite or anglesite resulting from further weathering. The grades of these deposits can be variable, heavily influenced by the extent of weathering and leaching processes; however, they can be significant due to the concentrated nature of the resistate lead minerals. Physiographically, these deposits are typically found on gentle slopes or upland surfaces where mechanical erosion is minimized, allowing for prolonged weathering conditions. The mineralization age can vary widely, as it is contingent upon both the age of the primary mineralization and the onset of weathering processes. Orebodies are generally irregular, reflecting the uneven nature of weathering and erosion processes, with little to no significant alteration processes beyond secondary weathering. Structural controls are minimal since the deposits are residual and not structurally remobilized, but the original mineralization could be structurally controlled. Tectonic settings are less influential for residual placer deposits, as their formation is fundamentally linked to surface processes postdating earlier tectonic activity. These distinguishing features emphasize the unique formation mechanisms and localization of residual placer lead deposits compared to transported placer or primary lead deposits."
2,2,Fluvial placer gold,"Fluvial placer gold deposits are also known as Alluvial gold. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer gold deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. Fluvial placer gold type mineral deposits are also known as USGS deposit model number 39a. Fluvial placer gold type mineral deposits are also known as Placer Au-PGE.  Fluvial placer gold deposits, also referred to as alluvial gold deposits or USGS deposit model 39a, are primarily found in high-energy alluvial settings and are synonymous with Cenozoic aged deposits. These deposits commonly occur in river environments where currents decelerate, facilitating the deposition of heavy minerals like gold. Positioned in association with alluvial gravels and conglomerates, particularly those with white quartz clasts, these deposits frequently occur in locations such as the inside bends of meanders, beneath overlying boulders, or within vegetative mats. The high-energy settings required for their formation are typically linked with areas where river gradients reduce significantly, such as below rapids. Tectonically, they are often found along major fault zones and shield areas that have experienced significant erosion, leading to multicycle sedimentation, including high-level terrace gravels. Mineralogically, gold often coexists with platinum-iron alloys, quartz, magnetite, and ilmenite. The signature flattened, rounded edges or flaky textures of the gold particles—ranging from flour-like fine grains to occasional larger nuggets—distinguish these deposits. Gold concentration is largely governed by natural ""traps"" such as streambed riffles or structures like fracturing bedrock or transverse trending formations that hinder particle movement, often congregating above impermeable clay layers. Geochemically, these deposits contain elevated levels of silver, arsenic, mercury, among other elements. Their formation through dynamic erosional processes—the winnowing action of water—sets them apart from other placer deposits like beach or glacial placers. The grades and tonnage vary but correlate positively with both silver content and proximity to source deposits, primarily due to their unique depositional and geomorphological features that contribute to their differentiation from other placer gold deposit types."
3,3,Fluvial placer PGE,"Fluvial placer PGE deposits are also known as Alluvial PGE. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer PGE deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. Fluvial placer PGE type mineral deposits are also known as USGS deposit model number 39b. Fluvial placer PGE type mineral deposits are also known as Placer PGE-Au.  Fluvial placer PGE (Platinum Group Elements) deposits, also referred to as Alluvial PGE or Placer PGE-Au, are distinctive due to their geological, mineralogical, and depositional features, setting them apart from other mineral deposit types. These deposits primarily form in erosional environments and are composed of alluvial gravels and conglomerates, with an assemblage of heavy minerals indicative of ultramafic sources. They typically manifest in fluvial systems, ranging from medium to low gradient rivers and streams, and are deposited across diverse settings, including marine and desert environments. The age of mineralization for such deposits spans from the Tertiary to Holocene, though preservation of older deposits is uncommon. Structurally, these deposits align with Paleozoic to Mesozoic accreted terranes and are often found along major fault zones and high-level terrace gravels, reflecting their affiliation with tectonically active settings. The mineralogical composition includes platinum-iron alloys such as isoferroplatinum, ferroanplatinum, and others, along with Au, Ir, and Os-Ir alloys and base metal minerals like magnetite, chromite, and ilmenite. These minerals usually exhibit coarse to fine textures, regularly exhibiting flattened and rounded morphologies. Ore controls are defined by natural trap sites such as fractured bedrock and clayey beds within the gravels, concentrating PGEs and associated elements in zones that facilitate mechanical sorting. The deposits present a notable geochemical signature, marked by high levels of Ag, As, Hg, Sb, Cu, Fe, S, and Cr. Grade correlations show a significant relationship between PGE content and other elements such as gold, osmium, iridium, and palladium. Fluvial placer PGE deposits are particularly distinguished by their unique origins from ultramafic erosion, specific ore control by fluvial dynamics, and settings associated with significant tectonic structures, exemplified by locations like the Urals and Goodnews Bay District."
4,4,Fluvial placer tin,"Fluvial placer tin deposits are also known as Alluvial tin. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer tin deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization. Fluvial placer tin type mineral deposits are also known as USGS deposit model number 39e. Fluvial placer tin type mineral deposits are also known as Alluvial placer Sn.  Fluvial placer tin deposits, also known as alluvial tin or USGS deposit model number 39e, are distinctive due to their formation in erosional environments along modern and fossil streambeds where the hydraulic concentration of cassiterite, the primary ore mineral, occurs. These deposits are largely composed of alluvial sand, gravel, and conglomerate, typically situated near lode tin sources, with cassiterite accompanied by heavy minerals like magnetite, ilmenite, and zircon. The grade and tonnage of these deposits do not directly correlate with their source lode deposits; instead, the richest placer deposits are often found in proximities to the primary source, within streams running parallel to tin-bearing granites. Cassiterite grains in alluvial deposits become coarser as one approaches the source, oftentimes forming in natural traps such as potholes and riffles within the streambed. The mineralization age of fluvial placer tin deposits varies widely, ranging from the late Tertiary to Holocene, though formation can occur at any geologic age. These deposits typically occur in stable tectonic settings, characterized by Paleozoic to Cenozoic accreted terranes or stable cratonic fold belts with evolved granitoid plutons. Notably, the geochemical signature of fluvial placer tin deposits includes anomalous concentrations of elements such as Sn, As, B, F, W, Be, Cu, Pb, and Zn. A key distinguishing feature of fluvial placer tin deposits is their formation in specific erosional settings strongly influenced by the dynamics of water flow, setting them apart from other in situ or tectonically disturbed tin deposit types. Their preservation within tectonically stable environments allows these deposits to serve as important indicators of past erosional and depositional processes, offering insights into the paleo-geological and climatic histories of the regions they inhabit."
5,5,Fluvial placer niobium-tantalum,"Fluvial placer niobium-tantalum deposits are also known as Alluvial niobium-tantalum. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer niobium-tantalum deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization.  Fluvial placer niobium-tantalum deposits, often termed alluvial deposits, are distinctive secondary mineral deposits predominantly located in sedimentary environments where erosion plays a crucial role. The primary ore minerals in these deposits are columbite-tantalite, which serve as key sources for both niobium and tantalum. These ores typically settle in unconsolidated sediments such as sands and gravels, transported by rivers and deposited in beds within river terraces or alluvial plains, making them suitable for placer mining. Accompanying heavy minerals may include tin and trace elements. Economically viable operation often requires the presence of high-grade concentrations, with the overall tonnage contingent on factors such as the alluvium's size and the maturity of the drainage system. Geographically, they are situated in regions displaying considerable topographic relief, often influenced by significant exhumation or uplift, which fosters the development of extensive drainage networks. These settings enhance the mechanical weathering processes, pivotal in ore concentration. The deposits themselves do not typically exhibit chemical alteration seen in lode deposits; instead, they reflect the processes of physical wear. Ore control is dictated by hydrodynamic sorting and the specific geological features of the drainage basin. Significantly, these deposits are linked to regions undergoing tectonic uplift and erosion, usually involving primary source rocks such as granitic or pegmatitic bodies. Age-wise, they align with the timeframe of erosional and sedimentary processes rather than with primary mineralization. This secondary nature, characterized by the transportation and deposition of materials via river activity, distinctly separates them from primary mineral deposits which form in situ."
6,6,Fluvial placer tungsten,"Fluvial placer tungsten deposits are also known as Alluvial tungsten. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer tungsten deposits include: Exhumation, topographic relief, drainage network, preexisting mineralization.  Fluvial placer tungsten deposits, such as those at Alder Gulch, Alaska, exhibit unique characteristics that distinguish them from other mineral deposit types. The geological setting features resistant monzonitic intrusives encircled by a thermally altered aureole within sedimentary rocks of the Kuskokwim Group. These include phyllitic siltstone, mudstone, and conglomerates, which are the products of late Early to Late Cretaceous periods, with K-Ar dating giving an age of approximately 69 million years for biotite from the intrusive rocks. The placer deposits primarily contain tungsten (scheelite - calcium tungstate) and gold, associated with heavy minerals. A notable 2.5% tungsten content is found in the concentrate, alongside anomalous lead, silver, and niobium. The terrain is described as accordant rounded ridges with broad sediment-filled lowlands and maturely dissected uplands. Within this physiography, the perennial stream of Alder Gulch indicates a classic fluvial environment facilitating the distribution of minerals. Orebodies are typically hosted along shear zones at contacts between monzonitic intrusives and hornfelsed sedimentary rocks, characterized by quartz-tourmaline vein rubble. Alteration processes include tourmaline enrichment and hornfelsing, driven by intrusive events. Ore genesis is influenced by the exhumation and erosion of faulted and mineralized contacts, where structures such as shearing and air-photo identified lineaments indicate significant geological movement. Situated on the eastern edge of the Kuskokwim Mountains, the region reflects tectonic settings marked by shear deformation and hydrothermal activity associated with intrusive processes. The distinguishing feature of this deposit type is the interplay of residual, semi-residual, and classic alluvial processes, with mineral migration primarily detected in the colluvial-alluvial zones. This combination of geological, structural, and physiographic factors imparts a distinct identity to fluvial placer tungsten deposits compared to other placer and lode forms."
7,7,Fluvial placer REE,"Fluvial placer REE deposits are also known as Alluvial REE. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer REE deposits include: Exhumation, topographic relief, drainage network, specific rock types.  Fluvial placer Rare Earth Element (REE) deposits, also known as Alluvial REE deposits, are an intriguing subtype of placer deposits. These deposits primarily form through the mechanical concentration of REEs in riverine environments, making them distinct due to their genesis and setting. Characteristic rock types associated with these deposits often include granitic and alkaline rocks, as well as carbonatites, due to their typically high REE content. The commodity types in these deposits predominantly include monazite, xenotime, and sometimes bastnäsite, which are significant sources of REEs. Physically, they are found in river channels, floodplains, and alluvial fans, indicating an erosional environment driven by dynamic fluvial systems. The grade of these deposits can vary significantly but they are generally lower grade compared to primary REE deposits; however, their surface accessibility and ease of extraction often compensate for this. Tonnage can vary widely, dependent on the size and concentration of the sedimentary basin. These deposits are typically young, frequently Cenozoic in age, reflecting recent weathering and erosional processes. Ore bodies are often lens-shaped or stratified layers within the sedimentary sequence, showing minimal alteration due to the non-reactive fluvial environment. Ore control is primarily sedimentological, influenced by variations in flow energy and sediment size, with the heavy REE-rich minerals settling in areas of lower energy. Structurally, these deposits do not rely on complex tectonic settings, but rather on stable cratonic regions or adjacent to areas of uplift that provide a continuous supply of sediment. The tectonic setting is usually passive margins or intraplate settings with extensive weathering profiles that liberate REE minerals from host rocks into the fluvial systems. This genesis and setting differentiate fluvial placer REE deposits from other mineral deposit types, emphasizing their dependency on surface and surficial geological processes."
8,8,Fluvial placer diamond,"Fluvial placer diamond deposits are also known as Alluvial diamond. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer diamond deposits include: Exhumation, topographic relief, drainage network, kimberlite pipe.  Fluvial placer diamond deposits, also known as alluvial diamond deposits, are a distinctive subtype of placer deposits found predominantly in erosional environments. They are typically hosted in unconsolidated sediments, such as sand and gravel, and occasionally in conglomerate beds where paleoplacers might be preserved. The genesis of these deposits is closely associated with processes such as exhumation and erosion in areas with significant topographic relief, actively transporting diamonds from primary sources like kimberlite pipes or Archean greenstone belts. Found in passive streams or low-energy parts of drainage networks, these deposits can extend significant distances—up to 1,000 kilometers—from the parent kimberlite pipes. Fluvial placer diamonds are most commonly encountered with sediment from the Tertiary and Quaternary periods. The setting for these deposits is often within stable cratons, which provides a tectonic environment conducive to their preservation. The mineralogical composition is dominated by various diamond forms, including bort, carbonado, and ballas, differentiated by their polycrystalline nature and visual characteristics. A notable geochemical signature accompanies these deposits, marked by elements such as chromium, nickel, and niobium and heavy minerals typically indicative of underlying kimberlite, like pyrope garnet and magnesium-rich ilmenite. A unique structural feature includes the retention of sand grains in the crevices of diamonds, a vestige of their ancient sedimentary passage. The depositional controls focus on hydrodynamic concentration mechanisms, which favor the accumulation of heavier minerals like diamonds in low-velocity zones of fluvial systems. Compared to other mineral deposits, fluvial placer diamond deposits differentiate themselves through their distinctive occurrence in sedimentary environments and their capacity to reveal extensive geographical sediment transportation from a primary eruption site, demonstrated by notable examples in regions like Africa and Venezuela."
9,9,Fluvial placer gemstones,"Fluvial placer gemstones deposits are also known as Alluvial gemstones. They belong to the general deposit group of Placer deposits. The deposit environment is typically Erosional. Genetically related features of typical Fluvial placer gemstones deposits include: Exhumation, topographic relief, drainage network, specific rock type. Fluvial placer gemstones type mineral deposits are also known as USGS deposit model number 39d. Fluvial placer gemstones type mineral deposits are also known as Diamond placer.  Fluvial placer gemstone deposits, such as diamond placers, form in erosional environments where water flow concentrates precious minerals in riverbeds, sand, or gravel from eroded upstream sources. Distinguished from igneous and hydrothermal deposits, these gemstones are transported and subsequently deposited by hydraulic action rather than directly precipitating in place. The host sediments for these alluvial deposits typically include sand, gravel, and clay, unlike the igneous and metamorphic rocks associated with corundum deposits. Key commodities extracted include diamonds and other gemstones, as opposed to corundum. Orebodies of fluvial placer deposits are characteristically elongated, following the current or historical pathways of rivers and streams within a drainage network system. These deposits, often found in alluvial plains and riverbeds influenced by topographic relief, usually exhibit lower grades than primary sources. However, the economic viability of these deposits comes from the relative ease of surface mining techniques. Their age of mineralization tends to align with late geological periods, including the Quaternary, marking a stark contrast with older primary hard rock deposits from the Proterozoic or Paleozoic eras. The process of ore concentration in fluvial placers is primarily physical, driven by mechanical erosion and transport, rather than chemical alterations typical of hydrothermal processes. Although tectonic settings are not the primary influence for formation, placers can be indirectly affected by tectonically driven uplift and erosion, leading to exposed sources ripe for erosion. Notably, fluvial placers stand out through the secondary nature of their mineral deposits, housed in softer sedimentary environments, and exploited more readily due to straightforward mechanical extraction methods compared to the more complex and challenging operations associated with primary mineral deposits."
