,Deposit type,USGS_Model,,,,,,,,,,,,,,,,,,,
0,Residual placer tin,,,,,,,,,,,,,,,,,,,,
1,Residual placer lead,,,,,,,,,,,,,,,,,,,,
2,Fluvial placer gold,39a,,,,,,,,,,,,,,,,,,,
3,Fluvial placer PGE,39b,,,,,,,,,,,,,,,,,,,
4,Fluvial placer tin,39e,,,,,,,,,,,,,,,,,,,
5,Fluvial placer niobium-tantalum,,,,,,,,,,,,,,,,,,,,
6,Fluvial placer tungsten,,,,,,,,,,,,,,,,,,,,
7,Fluvial placer REE,,,,,,,,,,,,,,,,,,,,
8,Fluvial placer diamond,39d,,,,,,,,,,,,,,,,,,,
9,Fluvial placer gemstones,,,,,,,,,,,,,,,,,,,,
10,Fluvial placer garnet,39g,,,,,,,,,,,,,,,,,,,
11,Heavy mineral sands,39c,,,,,,,,,,,,,,,,,,,
12,Shoreline placer gold,,,,,,,,,,,,,,,,,,,,
13,Paleoplacer heavy mineral sands,39c,,,,,,,,,,,,,,,,,,,
14,Paleoplacer tin,39e,,,,,,,,,,,,,,,,,,,
15,Paleoplacer gold ± uranium,29a,,,,,,,,,,,,,,,,,,,
16,Bauxite,38b,,,,,,,,,,,,,,,,,,,
17,Karst bauxite,38c,,,,,,,,,,,,,,,,,,,
18,Laterite nickel,38a,,,,,,,,,,,,,,,,,,,
19,Carbonatite laterite REE,10,,,,,,,,,,,,,,,,,,,
20,Laterite magnesite,,,,,,,,,,,,,,,,,,,,
21,Residual clay,38h,,,,,,,,,,,,,,,,,,,
22,"Underclay, overclay",38i,,,,,,,,,,,,,,,,,,,
23,Ion adsorption REE,,,,,,,,,,,,,,,,,,,,
24,Supergene silver,,,,,,,,,,,,,,,,,,,,
25,Supergene lead,,,,,,,,,,,,,,,,,,,,
26,Supergene uranium,,,,,,,,,,,,,,,,,,,,
27,Supergene vanadium,,,,,,,,,,,,,,,,,,,,
28,Supergene gold,,,,,,,,,,,,,,,,,,,,
29,Supergene zinc,,,,,,,,,,,,,,,,,,,,
30,Supergene copper,,,,,,,,,,,,,,,,,,,,
31,Supergene manganese,,,,,,,,,,,,,,,,,,,,
32,Supergene iron,,,,,,,,,,,,,,,,,,,,
33,Exotic copper,,,,,,,,,,,,,,,,,,,,
34,Paleochannel iron,,,,,,,,,,,,,,,,,,,,
35,Sandstone uranium,30c,,,,,,,,,,,,,,,,,,,
36,Carbonate uranium,,,,,,,,,,,,,,,,,,,,
37,Coal/peat/bog uranium,,,,,,,,,,,,,,,,,,,,
38,Calcrete uranium,,,,,,,,,,,,,,,,,,,,
39,Nodular magnesite,8f,,,,,,,,,,,,,,,,,,,
40,Marine evaporite gypsum,35ae,,,,,,,,,,,,,,,,,,,
41,Marine evaporite salt,35ac,,,,,,,,,,,,,,,,,,,
42,Marine evaporite potash,35ab,,,,,,,,,,,,,,,,,,,
43,Marine evaporite magnesite,,,,,,,,,,,,,,,,,,,,
44,Lacustrine evaporite trona,,,,,,,,,,,,,,,,,,,,
45,Lacustrine evaporite salt,35b5,,,,,,,,,,,,,,,,,,,
46,Lacustrine evaporite potash,,,,,,,,,,,,,,,,,,,,
47,Lacustrine evaporite carnallite-bischofite,,,,,,,,,,,,,,,,,,,,
48,Lacustrine evaporite borate,35b.3,,,,,,,,,,,,,,,,,,,
49,Lacustrine evaporite magnesite,,,,,,,,,,,,,,,,,,,,
50,Lacustrine evaporite nitrate,,,,,,,,,,,,,,,,,,,,
51,"Marine brine potash (± Mg, Li, and so on)",,,,,,,,,,,,,,,,,,,,
52,Lacustrine brine potash,,,,,,,,,,,,,,,,,,,,
53,Lacustrine brine lithium,35bm,,,,,,,,,,,,,,,,,,,
54,"Lacustrine zeolite (± Li, B)",25ob,,,,,,,,,,,,,,,,,,,
55,Lacustrine clay lithium,25lc,,,,,,,,,,,,,,,,,,,
56,Black shale vanadium ± Mo ± Ni,,,,,,,,,,,,,,,,,,,,
57,Black shale nickel ± Mo-PGE,,,,,,,,,,,,,,,,,,,,
58,Black shale gold,,,,,,,,,,,,,,,,,,,,
59,Black shale uranium,,,,,,,,,,,,,,,,,,,,
60,Phosphorite,34c,,,,,,,,,,,,,,,,,,,
61,Superior-type banded iron formation,34a,,,,,,,,,,,,,,,,,,,
62,Oolitic iron formation,34f,,,,,,,,,,,,,,,,,,,
63,Lacustrine iron formation,,,,,,,,,,,,,,,,,,,,
64,Superior-type banded manganese,,,,,,,,,,,,,,,,,,,,
65,Sedimentary manganese,34b,,,,,,,,,,,,,,,,,,,
66,Crust manganese,33b,,,,,,,,,,,,,,,,,,,
67,Nodule manganese,33a,,,,,,,,,,,,,,,,,,,
68,Lacustrine manganese,40b,,,,,,,,,,,,,,,,,,,
69,Unconformity-related uranium,,,,,,,,,,,,,,,,,,,,
70,Unconformity-related REE,,,,,,,,,,,,,,,,,,,,
71,Collapse breccia pipe uranium,32e,,,,,,,,,,,,,,,,,,,
72,Volcanic-hosted copper,23,,,,,,,,,,,,,,,,,,,
73,Sediment-hosted copper ± Co,30b,,,,,,,,,,,,,,,,,,,
74,Siliciclastic-mafic zinc-lead,,,,,,,,,,,,,,,,,,,,
75,Siliciclastic-mafic barite,31b,,,,,,,,,,,,,,,,,,,
76,Siliciclastic-carbonate zinc-lead,31a,,,,,,,,,,,,,,,,,,,
77,Irish-type sediment-hosted zinc-lead,,,,,,,,,,,,,,,,,,,,
78,Kipushi-type sediment-hosted copper-zinc-lead,32c,,,,,,,,,,,,,,,,,,,
79,MVT zinc-lead,32a,,,,,,,,,,,,,,,,,,,
80,MVT barite,32f,,,,,,,,,,,,,,,,,,,
81,MVT fluorspar,32d,,,,,,,,,,,,,,,,,,,
82,MVT strontium,,,,,,,,,,,,,,,,,,,,
83,Sandstone-hosted zinc-lead,30a,,,,,,,,,,,,,,,,,,,
84,Non-sulfide zinc-lead ± Mn,,,,,,,,,,,,,,,,,,,,
85,Vein five-element,,,,,,,,,,,,,,,,,,,,
86,Hypozonal orogenic gold,,,,,,,,,,,,,,,,,,,,
87,Mesozonal orogenic gold,36a,,,,,,,,,,,,,,,,,,,
88,Epizonal orogenic gold,,,,,,,,,,,,,,,,,,,,
89,Epizonal orogenic antimony ± gold,27d,,,,,,,,,,,,,,,,,,,
90,Epizonal orogenic mercury,,,,,,,,,,,,,,,,,,,,
91,Orogenic silver-lead-zinc-copper-antimony,,,,,,,,,,,,,,,,,,,,
92,Orogenic copper ± gold,,,,,,,,,,,,,,,,,,,,
93,Orogenic graphite,37g,,,,,,,,,,,,,,,,,,,
94,Metamorphic graphite,37f,,,,,,,,,,,,,,,,,,,
95,Metamorphic kyanite,37c,,,,,,,,,,,,,,,,,,,
96,Low Iron alkali-calcic,,,,,,,,,,,,,,,,,,,,
97,Albitite-hosted uranium,,,,,,,,,,,,,,,,,,,,
98,Ferroan carbonate polymetallic,,,,,,,,,,,,,,,,,,,,
99,Iron sulfide polymetallic,,,,,,,,,,,,,,,,,,,,
100,Iron silicate polymetallic,,,,,,,,,,,,,,,,,,,,
101,Iron oxide polymetallic,,,,,,,,,,,,,,,,,,,,
102,Iron oxide uranium,,,,,,,,,,,,,,,,,,,,
103,Iron oxide gold,,,,,,,,,,,,,,,,,,,,
104,Hematite-dominant IOCG,29b,,,,,,,,,,,,,,,,,,,
